"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14","55.35","55.35","55.35","55.35","-","-2.21%"
"Jul 14","56.60","56.60","56.60","56.60","-","-3.74%"
"Jun 14","58.80","58.80","58.80","58.80","0.12K","-0.59%"
"May 14","59.15","59.15","59.15","59.15","0.01K","-0.25%"
"Apr 14","59.30","59.30","59.30","59.30","0.15K","0.25%"
"Mar 14","59.15","59.15","59.15","59.15","-","-5.21%"
"Feb 14","62.40","62.40","62.40","62.40","-","-5.10%"
"Jan 14","65.75","65.75","65.75","65.75","-","-0.98%"
"Dec 13","66.40","66.40","66.40","66.40","-","9.30%"
"Nov 13","60.75","60.75","60.75","60.75","-","2.27%"
"Oct 13","59.40","59.40","59.40","59.40","-","14.12%"
"Sep 13","52.05","52.05","52.05","52.05","-","0.00%"
"Aug 13","52.05","52.05","52.05","52.05","-","-6.89%"
"Jul 13","55.90","55.90","55.90","55.90","-","-0.45%"
"Jun 13","56.15","56.15","56.15","56.15","-","-8.85%"
"May 13","61.60","61.60","61.60","61.60","-","-3.83%"
"Apr 13","64.05","64.05","64.05","64.05","-","-2.21%"
"Mar 13","65.50","65.50","65.50","65.50","-","9.35%"
"Feb 13","59.90","59.90","59.90","59.90","-","-0.66%"
"Jan 13","60.30","60.30","60.30","60.30","-","-2.11%"
"Dec 12","61.60","61.60","61.60","61.60","-","-4.79%"
"Nov 12","64.70","64.70","64.70","64.70","-","-1.75%"
"Oct 12","65.85","65.85","65.85","65.85","-","6.21%"
"Sep 12","62.00","62.00","62.00","62.00","-","-2.36%"
"Aug 12","63.50","63.50","63.50","63.50","-","4.10%"
"Jul 12","61.00","61.00","61.00","61.00","-","17.20%"
"Jun 12","52.05","52.05","52.05","52.05","-","-3.16%"
"May 12","53.75","53.75","53.75","53.75","-","-4.87%"
"Apr 12","56.50","56.50","56.50","56.50","-","-1.05%"
"Mar 12","57.10","57.10","57.10","57.10","-","-4.27%"
"Feb 12","59.65","59.65","59.65","59.65","-","1.97%"
"Jan 12","58.50","58.50","58.50","58.50","-","-14.16%"
"Dec 11","68.15","68.15","68.15","68.15","-","-3.47%"
"Nov 11","70.60","70.60","70.60","70.60","-","-8.31%"
"Oct 11","77.00","77.00","77.00","77.00","-","-2.53%"
"Sep 11","79.00","79.00","79.00","79.00","-","0.96%"
"Aug 11","78.25","78.25","78.25","78.25","-","3.99%"
"Jul 11","75.25","75.25","75.25","75.25","-","-4.75%"
"Jun 11","79.00","79.00","79.00","79.00","-","8.59%"
"May 11","72.75","72.75","72.75","72.75","-","7.38%"
"Apr 11","67.75","67.75","67.75","67.75","-","-7.19%"
"Mar 11","73.00","73.00","73.00","73.00","-","3.77%"
