,estimator,mean_fit_time,mean_score_time,mean_test_score,param_model__estimator__C,param_model__estimator__activation,param_model__estimator__alpha,param_model__estimator__gamma,param_model__estimator__hidden_layer_sizes,param_model__estimator__kernel,param_model__estimator__learning_rate,param_model__estimator__n_estimators,param_model__estimator__n_neighbors,param_model__estimator__solver,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,std_fit_time,std_score_time,std_test_score
0,GradientBoostingRegressor,9.204927623271942,0.01277923583984375,-1469.1168204226926,,,,,,,0.8,16,,,"{'model__estimator__learning_rate': 0.8, 'model__estimator__n_estimators': 16}",1,-1244.43250552276,-1367.9360465438424,-1258.765332276028,-1145.3859057305242,-1718.5634063059806,-1920.3896951418737,-1607.9656128200957,-1489.4960590404353,5.70005900973339,0.004160129184841719,248.8310549450967
1,GradientBoostingRegressor,18.15033707022667,0.01339992880821228,-1512.783702624704,,,,,,,0.8,32,,,"{'model__estimator__learning_rate': 0.8, 'model__estimator__n_estimators': 32}",2,-1256.5897532596184,-1394.9641210919096,-1290.1880506216105,-1181.106195872698,-1716.8074745760666,-2055.018907685479,-1661.63757400293,-1545.9575438873198,9.300947364004541,0.0026500270378896776,273.3994975664543
2,GradientBoostingRegressor,10.545056939125061,0.013801932334899902,-1629.7587019532486,,,,,,,1.0,16,,,"{'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 16}",3,-1377.2700126679247,-1519.185867842057,-1362.8205205076188,-1286.1418558415232,-1825.8474413810848,-2240.898673148931,-1766.7088768496096,-1659.1963673872408,5.91118188702151,0.006847204404736001,295.1419582547261
3,GradientBoostingRegressor,15.433695942163467,0.01050800085067749,-1701.5098353900157,,,,,,,1.0,32,,,"{'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 32}",4,-1389.4214702195575,-1586.585337173804,-1422.4123092531972,-1323.7934539309756,-1842.561965518121,-2350.2916770378783,-1940.8446239908524,-1756.1678459957402,4.974567103858023,0.0026854175523228483,322.5395523239886
0,SVR,13.223574668169022,2.0780343413352966,-3625.9920370491654,1,,,0.001,,rbf,,,,,"{'model__estimator__C': 1, 'model__estimator__gamma': 0.001, 'model__estimator__kernel': 'rbf'}",3,-3652.0554447901886,-3197.845659652264,-3323.982708205773,-3271.8780037649854,-3447.264847869592,-4193.789390752145,-3846.798836975148,-4074.3214043832254,12.052718573991624,1.2303472881577906,354.3809942191876
1,SVR,13.273263424634933,2.0762202739715576,-3627.638938815275,1,,,0.0001,,rbf,,,,,"{'model__estimator__C': 1, 'model__estimator__gamma': 0.0001, 'model__estimator__kernel': 'rbf'}",4,-3652.941119365396,-3199.167161603266,-3325.527507771372,-3274.102088756932,-3449.0552119944405,-4196.221183556165,-3848.2743660951614,-4075.8228713794683,12.07819000961122,1.2118574213190214,354.4740172113941
2,SVR,13.700533092021942,2.04668727517128,-3609.945265783122,10,,,0.001,,rbf,,,,,"{'model__estimator__C': 10, 'model__estimator__gamma': 0.001, 'model__estimator__kernel': 'rbf'}",1,-3643.2031311366004,-3184.5366907784532,-3308.670534602233,-3249.948772977355,-3430.1701546106087,-4174.473509152905,-3831.298492755866,-4057.260840250954,12.122832657309912,1.1393787319730715,354.0025039085067
3,SVR,13.047156572341919,1.7781689167022705,-3625.970728449286,10,,,0.0001,,rbf,,,,,"{'model__estimator__C': 10, 'model__estimator__gamma': 0.0001, 'model__estimator__kernel': 'rbf'}",2,-3652.0400076303363,-3197.8240710981613,-3323.9625233678767,-3271.850037778104,-3447.2431845645824,-4193.756224055934,-3846.7862161613284,-4074.3035629379665,10.49670331679393,0.8330350128917758,354.3806747472267
0,MLPRegressor,46.63478869199753,0.022308766841888428,-27489.13392114604,,tanh,5e-05,,"(1,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",8,-29374.580086659782,-29428.91262658151,-28504.490042080957,-28416.47926480524,-27560.720570605143,-26027.66845839693,-25816.926042530307,-24783.294277508452,24.576193691787836,0.004302334914924722,1638.117037234075
1,MLPRegressor,150.18803071975708,0.08783456683158875,-27418.775908431155,,tanh,5e-05,,"(50,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",5,-29346.55209164374,-29390.659927933546,-28456.007946614973,-28348.2714835122,-27483.192757072728,-25940.093489833434,-25719.358349528367,-24666.071221310256,75.8842655207533,0.024027700592208354,1665.8524200662323
2,MLPRegressor,51.62511131167412,0.024326801300048828,-27488.852108096256,,tanh,0.0005,,"(1,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",7,-29374.266138659394,-29429.083375411996,-28504.006312166686,-28416.298520238244,-27560.752372733787,-26027.41712487376,-25816.13947574337,-24782.853544942813,25.13261667417976,0.004719787068289043,1638.2664608975322
3,MLPRegressor,157.73952665925026,0.076657235622406,-27418.879501888103,,tanh,0.0005,,"(50,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",6,-29346.52616568418,-29391.024781261392,-28455.93134986101,-28348.62798607194,-27483.109252586728,-25940.07974837987,-25719.479510089313,-24666.257221170363,76.07964980589627,0.020765403348776083,1665.8688186238185
4,MLPRegressor,55.95447093248367,0.03619447350502014,-27374.271170023305,,relu,5e-05,,"(1,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",3,-29352.590838396398,-29388.830733259194,-28435.905710284762,-28303.02206486362,-27439.39709151021,-25894.2689494545,-25713.96252661578,-24466.19144580197,28.496620555969784,0.015591376951037648,1709.1681272690423
5,MLPRegressor,141.71648010611534,0.05291253328323364,-23016.553982143803,,relu,5e-05,,"(50,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",1,-28785.482533645874,-28042.93393479691,-26533.337899649956,-24005.514559787494,-22096.827206662612,-20361.45670302772,-18874.920223969955,-15431.958795609899,52.05589523780352,0.022434737153257254,4394.108234910657
6,MLPRegressor,57.03609496355057,0.024540364742279053,-27388.2446602916,,relu,0.0005,,"(1,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",4,-29355.28967866747,-29390.102329403748,-28452.063090572658,-28309.50984920564,-27457.245617536344,-25909.008794590016,-25679.442642389713,-24553.29527996718,24.789718301675613,0.0029209638658659527,1695.8398227897621
7,MLPRegressor,92.77045527100563,0.03392353653907776,-23082.98378563802,,relu,0.0005,,"(50,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",2,-28761.773892283603,-27981.287960830054,-26450.134474629234,-23995.976631842834,-22404.370571182957,-20472.088222706476,-18510.335712366734,-16087.902819262299,22.287482409588726,0.019881036601216436,4265.132768026495
0,KNeighborsRegressor,0.1435801088809967,1.8372198045253754,-1349.9209279663223,,,,,,,,,5,,{'model__estimator__n_neighbors': 5},1,-1077.5912262234713,-1288.6838882923728,-1259.437664837896,-865.6803179585071,-1730.0129555740625,-1926.5242071303583,-1413.4633885608048,-1237.9737751531063,0.08571037180364417,0.8188920531687918,319.0024943244091
1,KNeighborsRegressor,0.14508268237113953,2.2786556482315063,-1352.3705390526877,,,,,,,,,20,,{'model__estimator__n_neighbors': 20},2,-1088.284057072084,-1105.1405193277035,-1252.3185559907067,-876.9059643843415,-1775.3826392352178,-2060.697701330002,-1333.7105408185432,-1326.5243342629049,0.0770318640040892,1.0882815870909635,362.0469826649049
2,KNeighborsRegressor,0.17210417985916138,3.384387195110321,-1477.5808282484754,,,,,,,,,50,,{'model__estimator__n_neighbors': 50},3,-1590.2064191766246,-1095.5711401094534,-1285.660161315773,-985.0640068694978,-1843.9875407263337,-2140.3833486106523,-1475.0356296409736,-1404.7383795384956,0.11503246475143106,2.1794090580823577,356.52767207091307
0,LinearRegression,1.8349633812904358,0.011561542749404907,-1891.737067464331,,,,,,,,,,,{},1,-2242.209948545557,-1789.2962827616163,-1909.764455624636,-1808.3355231785008,-1867.9853400758802,-1969.0468865372088,-1993.3139447979659,-1553.9441581932836,0.24588369737557886,0.0027453859990553293,184.244750026525
0,Lasso,2.1242055892944336,0.010504156351089478,-1869.685055180296,,,,,,,,,,,{},1,-2098.9841396250695,-1757.6376570922175,-1891.9440906478214,-1807.943751941005,-1877.2817839697552,-1971.433521330265,-1992.9478574017496,-1559.3076394344864,0.7635799280995932,0.0028589894298429166,154.66837992938903
0,Ridge,0.3467942178249359,0.014968246221542358,-1865.349879953829,,,,,,,,,,,{},1,-2007.7282976136157,-1782.1218769105617,-1909.7477268253697,-1817.0779448976791,-1877.1092035528807,-1976.678547378424,-1996.7080886854783,-1555.6273537666227,0.11497781106247848,0.005121601630016565,140.18525196047915
0,ElasticNet,0.527012825012207,0.04453369975090027,-3418.646668768563,,,,,,,,,,,{},1,-2719.0685839169414,-3440.6202665387996,-3729.4692899290426,-3441.9583392686163,-3440.2376700042587,-3412.4899951978664,-3519.885286878131,-3645.443918414848,0.26892557217639534,0.05979773392819499,284.87646397558785
0,llars,1.5819716453552246,0.023660361766815186,-1866.4595566570829,,,,,,,,,,,{},1,-1825.2867381858962,-1686.0165256231649,-1885.4546091685486,-1827.4977697379766,-1969.603831001156,-2028.3474829758186,-2036.1453307236425,-1673.3241658404593,0.28011907162292277,0.009516329478314406,131.84967975578064
0,ExtraTreesRegressor,99.59803995490074,0.18322336673736572,-1420.090311259964,,,,,,,,16,,,{'model__estimator__n_estimators': 16},2,-1358.8838158555716,-1196.3275594610952,-1262.6209372388446,-1280.6006245306623,-1455.7873538661122,-1772.3818645243175,-1604.8133664345341,-1429.306968168575,45.78508127883026,0.04794889887607662,179.4648823100798
1,ExtraTreesRegressor,163.141371935606,0.2637333273887634,-1390.6087691435519,,,,,,,,32,,,{'model__estimator__n_estimators': 32},1,-1338.468472557157,-1154.7114000645586,-1226.6400626320249,-1278.286346252645,-1412.8339703861823,-1735.5575753741784,-1563.9291198076614,-1414.4432060740062,66.12507108391017,0.036176070725617404,176.05393544805614
0,RandomForestRegressor,314.3635089099407,0.1524348258972168,-1406.229547363928,,,,,,,,16,,,{'model__estimator__n_estimators': 16},2,-1246.5051971498463,-1195.645736148386,-1325.9248636320995,-1282.8809924987647,-1375.0134751692585,-1728.330215172128,-1594.8621922785103,-1500.67370686243,155.9513826344624,0.025744737787310686,173.4741966297032
1,RandomForestRegressor,515.5081226229668,0.22468411922454834,-1380.3225479543867,,,,,,,,32,,,{'model__estimator__n_estimators': 32},1,-1226.1146476568595,-1160.313427674521,-1305.9937786902412,-1248.707097615779,-1349.4757934846798,-1693.9267633044983,-1573.3224387032806,-1484.7264365052354,232.54458260128575,0.030286361773611662,174.09757973222446
0,AdaBoostRegressor,102.69541025161743,0.12930622696876526,-2109.2903204474073,,,,,,,,16,,,{'model__estimator__n_estimators': 16},1,-1914.0928723604136,-1871.6474844441543,-2183.578796067004,-1956.772615600793,-1992.6927022499049,-2221.479553212152,-2240.5970809865644,-2493.4614586582716,48.98654691523407,0.03824841416642456,198.23185492627601
1,AdaBoostRegressor,148.78497204184532,0.19822737574577332,-2257.2343959641375,,,,,,,,32,,,{'model__estimator__n_estimators': 32},2,-2046.8078022342854,-2005.7834915063288,-2423.3205113269414,-2219.9715635791695,-2248.1251112736977,-2343.658545572746,-2357.434048606179,-2412.77409361375,63.21862539899232,0.07274422081842453,149.27520965180238
0,GradientBoostingRegressor,82.98586869239807,0.057262420654296875,-1719.735233142431,,,,,,,0.8,16,,,"{'model__estimator__learning_rate': 0.8, 'model__estimator__n_estimators': 16}",1,-1915.7325857130588,-1588.6963544760363,-1689.664630550483,-1469.794733192243,-1763.7383016215372,-1961.3733250076493,-1790.6561199585358,-1578.2258146199053,47.54264195952842,0.020885071271341777,159.82043431052574
1,GradientBoostingRegressor,146.30823063850403,0.052605241537094116,-1783.7022093595385,,,,,,,0.8,32,,,"{'model__estimator__learning_rate': 0.8, 'model__estimator__n_estimators': 32}",2,-1956.336498309515,-1612.5962640306207,-1798.0530323174419,-1521.3824382841765,-1820.601722669824,-2034.9194613312768,-1881.559549686809,-1644.1687082466422,71.74173753454727,0.02939707778004395,166.4387234931687
2,GradientBoostingRegressor,80.46094301342964,0.041021645069122314,-1877.62004643929,,,,,,,1.0,16,,,"{'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 16}",3,-2285.4618302406393,-1727.4582804607683,-1858.3035413327962,-1550.2736501954066,-1910.0208075693226,-2130.187531158436,-1905.0093556229058,-1654.2453749340482,41.01221228122272,0.015420671613068444,226.90824931738194
3,GradientBoostingRegressor,102.20215409994125,0.03548434376716614,-1984.523987685245,,,,,,,1.0,32,,,"{'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 32}",4,-2286.3620519857477,-1786.1249189409766,-2021.5171896128606,-1672.331223290875,-2039.8253327312866,-2251.327000880343,-2069.2658708855656,-1749.4383131543048,34.28813337653959,0.01987297479697976,213.8895083975054
0,SVR,663.9741994440556,102.25631234049797,-4732.105589119114,1,,,0.001,,rbf,,,,,"{'model__estimator__C': 1, 'model__estimator__gamma': 0.001, 'model__estimator__kernel': 'rbf'}",3,-5069.984644529785,-4835.245844934175,-4897.207750900535,-4726.796662083082,-4430.604119593868,-4479.655735567946,-4533.428086073152,-4883.921869270364,545.9130188915659,50.16249154088398,214.83775122327958
1,SVR,663.9518728554249,102.30206754803658,-4733.60105616829,1,,,0.0001,,rbf,,,,,"{'model__estimator__C': 1, 'model__estimator__gamma': 0.0001, 'model__estimator__kernel': 'rbf'}",4,-5071.8809284907975,-4836.216035239115,-4898.406714484607,-4728.529090373682,-4432.064719813704,-4480.895456862817,-4534.824330476712,-4885.991173604886,545.7843368836087,50.19048834190047,214.96190140052224
2,SVR,629.4003232419491,93.03222450613976,-4716.808648103487,10,,,0.001,,rbf,,,,,"{'model__estimator__C': 10, 'model__estimator__gamma': 0.001, 'model__estimator__kernel': 'rbf'}",1,-5051.031720937691,-4825.585718959373,-4885.268344797958,-4709.527875747636,-4415.656508537686,-4468.011424540601,-4518.1971614929835,-4861.1904298139725,490.25190907847326,39.514926418708065,213.5575109122843
3,SVR,486.9812026619911,69.37440207600594,-4732.098288898559,10,,,0.0001,,rbf,,,,,"{'model__estimator__C': 10, 'model__estimator__gamma': 0.0001, 'model__estimator__kernel': 'rbf'}",2,-5069.963532394345,-4835.2414711575575,-4897.203538125811,-4726.790756651251,-4430.599044535305,-4479.651506504764,-4533.423463572889,-4883.912998246545,347.93597710208405,26.25356147710068,214.83421413822816
0,MLPRegressor,185.08622652292252,0.030758798122406006,-31398.691888357673,,tanh,5e-05,,"(1,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",7,-33344.800796933625,-33323.800722271066,-32656.035805376374,-32435.396013547706,-31343.558027652496,-30109.291936422826,-29582.983799267222,-28393.668005390078,94.7514223843926,0.0024359693624655234,1737.1531832260796
1,MLPRegressor,543.9633381068707,0.12292760610580444,-31088.575452933193,,tanh,5e-05,,"(50,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",6,-33267.29363824659,-33176.07710497606,-32439.38365879952,-32160.25196508094,-31000.604037082754,-29697.754005477746,-29112.417582306287,-27854.821631495666,279.15530362960214,0.021509702203153486,1883.5517118609077
2,MLPRegressor,189.6417362689972,0.03297653794288635,-31398.72601138383,,tanh,0.0005,,"(1,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",8,-33344.86511216181,-33323.54740363886,-32656.103852556025,-32435.284153297802,-31343.609918031205,-30109.37194033652,-29582.776817484355,-28394.248893564043,97.92948692261393,0.0032658646258975966,1737.0187297240814
3,MLPRegressor,550.0042213201523,0.11086007952690125,-31088.535022721626,,tanh,0.0005,,"(50,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",5,-33267.42709790501,-33175.80984560743,-32439.64994812421,-32160.506601694255,-31000.287535015348,-29697.739347803257,-29112.244280654526,-27854.615524968936,275.4901803198019,0.012631553250669409,1883.6461355873041
4,MLPRegressor,204.3298378586769,0.03378951549530029,-30420.223124602664,,relu,5e-05,,"(1,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",3,-33203.332972562515,-32966.726799435695,-32189.922145183373,-31803.759240905692,-30762.94188161871,-28981.582389117404,-27992.8622936501,-25460.657274347806,103.42627629678054,0.002926534231704799,2548.3549973260574
5,MLPRegressor,478.46758633852005,0.0645078718662262,-11152.484066010082,,relu,5e-05,,"(50,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",2,-27474.392134662874,-21366.035915071407,-12654.822350415787,-7704.463588518408,-5247.525243905991,-5212.931406652478,-4842.92454864021,-4716.777340213494,202.62821876780654,0.015015468661807608,8187.207069238671
6,MLPRegressor,204.04234820604324,0.03166854381561279,-30420.269485034038,,relu,0.0005,,"(1,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",4,-33179.85154492017,-33023.46395181383,-32094.418264666198,-31805.53524464679,-30146.59751389972,-28707.22526797759,-27994.855852653815,-26410.20823969418,100.84256296350128,0.0020616488692310215,2347.5063699355865
7,MLPRegressor,338.88989263772964,0.057607442140579224,-11081.298246496775,,relu,0.0005,,"(50,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",1,-27670.2814077886,-21276.788917330352,-12491.127775755353,-7188.571129827651,-5237.004989851896,-5238.416744482039,-4857.90187703542,-4690.2931299028905,103.92766078239585,0.02304272039872323,8247.378164749567
0,KNeighborsRegressor,1.3111698925495148,45.35528865456581,-1718.604383015977,,,,,,,,,5,,{'model__estimator__n_neighbors': 5},1,-1610.3331084789259,-1281.985021623436,-1732.6538967476783,-1362.2594435161739,-1826.1965412067912,-2133.6576645465248,-1911.9438923102177,-1889.8054956980675,0.7799510402575546,19.903714340562946,269.2753066628744
1,KNeighborsRegressor,1.3105439841747284,62.272686153650284,-1720.2245561027128,,,,,,,,,20,,{'model__estimator__n_neighbors': 20},2,-1514.765411478246,-1300.6073595127864,-1676.873911364907,-1482.9313636530114,-1857.8775443445975,-2186.995495776657,-1881.0996808984971,-1860.6456817929984,0.7472429850952039,28.154997593774322,264.3155649456168
2,KNeighborsRegressor,1.1072556674480438,77.21473386883736,-1848.1498916426808,,,,,,,,,50,,{'model__estimator__n_neighbors': 50},3,-1685.541769804584,-1476.4853766040426,-1773.3292818798002,-1613.2600430300317,-1997.1065243344317,-2298.9855149694063,-1977.5276145287687,-1962.963007990382,0.6640361143761192,34.94364753155529,245.129751917506
0,LinearRegression,0.6130584180355072,0.00590023398399353,-2241.877352410294,,,,,,,,,,,{},1,-9061.175829177753,-924.2410954433657,-1281.8402150472002,-1034.43817336471,-1442.704016367595,-1066.4990562156393,-1358.461299189815,-1765.6591344762726,0.3135261140153815,0.0009164247294691614,2589.5457509840016
0,Lasso,0.44222864508628845,0.005555778741836548,-1618.3288085661352,,,,,,,,,,,{},1,-4639.970134850704,-926.7095216179536,-1177.0321711787471,-1006.9861037642869,-1193.1587826764146,-1028.905454744795,-1336.881164833352,-1636.9871348628287,0.09842596658245144,0.0020381611300978823,1161.0817433497807
0,Ridge,0.055035799741744995,0.005975991487503052,-1341.2338647521303,,,,,,,,,,,{},1,-2662.6659175731497,-925.0085164593523,-1114.3136715359158,-1054.175609447338,-1072.5050198590316,-1031.8654470989597,-1335.1139051649309,-1534.2228308783633,0.010585343101205685,0.0006918554954883512,531.3341264781936
0,ElasticNet,0.04430419206619263,0.005796760320663452,-1749.4935109398577,,,,,,,,,,,{},1,-2212.452366299098,-1305.1184749667489,-1249.6783622459127,-1661.5332517270683,-1442.9184431853112,-1862.1179463036542,-2115.338818020291,-2146.790424770778,0.005233774485353248,0.0005750379836651063,365.32732351934067
0,llars,0.49434730410575867,0.005629539489746094,-1531.3873724246184,,,,,,,,,,,{},1,-4113.0818615613,-981.66052241646,-971.6722199088364,-893.8042987339512,-1067.6573268904071,-1041.2955281404793,-1315.7723542037122,-1866.1548675418007,0.0832311942823195,0.00046742111406232397,1018.6347453519362
0,ExtraTreesRegressor,4.726771384477615,0.04067075252532959,-1293.3127762354582,,,,,,,,16,,,{'model__estimator__n_estimators': 16},2,-2185.8663833155765,-781.6132867986513,-995.5766135475855,-1170.04958689269,-944.4979030210966,-1198.3655964758264,-1550.1776904379076,-1520.3551493943332,2.183422170375596,0.005654186149143846,419.90230284828965
1,ExtraTreesRegressor,8.561582058668137,0.06026822328567505,-1285.4015089272646,,,,,,,,32,,,{'model__estimator__n_estimators': 32},1,-2249.148816431731,-780.1791261820673,-985.4858252939543,-1160.6220659763317,-937.734858677925,-1155.177528972176,-1557.0413022025266,-1457.8225476814039,3.5364524832109017,0.018309951732255577,437.4536306809911
0,RandomForestRegressor,10.068746984004974,0.03591093420982361,-1391.1820579400367,,,,,,,,16,,,{'model__estimator__n_estimators': 16},1,-2677.845041931357,-725.0887484052777,-960.3590710572525,-1072.208857084846,-964.3435232451466,-1511.6147876058767,-1672.1364856244734,-1545.859948566064,4.901689208200112,0.011609648706192445,579.4491023409735
1,RandomForestRegressor,16.53468444943428,0.05205017328262329,-1393.9153735510827,,,,,,,,32,,,{'model__estimator__n_estimators': 32},2,-2803.2238981612995,-711.8789244577935,-955.212461960917,-1061.9524839048029,-938.8414643053253,-1457.9843855835368,-1675.134171323423,-1547.095198711562,6.994813587913757,0.01914199489816477,619.246418278555
0,AdaBoostRegressor,4.236658811569214,0.0386597216129303,-1435.8257454864063,,,,,,,,16,,,{'model__estimator__n_estimators': 16},2,-2805.1690939020405,-705.89994330847,-1003.8175956459496,-1149.505330969274,-1019.0711549358648,-1418.6536013078057,-1645.3606538116226,-1739.128590010223,1.9918533037998964,0.005613016913570149,610.9807759267898
1,AdaBoostRegressor,7.362417012453079,0.05512118339538574,-1373.143160920167,,,,,,,,32,,,{'model__estimator__n_estimators': 32},1,-2474.393677687807,-682.0847655459801,-986.9714248815136,-1154.7299645940536,-1012.354077426707,-1324.5497972939029,-1649.9677564813567,-1700.0938234500154,3.0140551548511842,0.014439442241738104,524.7863863915877
0,GradientBoostingRegressor,2.5018795132637024,0.007852882146835327,-1595.4858521456779,,,,,,,0.8,16,,,"{'model__estimator__learning_rate': 0.8, 'model__estimator__n_estimators': 16}",1,-2398.7309406149852,-910.964349732631,-1162.2903637367554,-1402.2015332021,-1342.4166207863325,-1647.448301178498,-1918.7846829716825,-1981.0500249424374,1.3554540426352348,0.0032901290918175424,455.3454067890959
1,GradientBoostingRegressor,5.395427078008652,0.008061707019805908,-1631.4390418501487,,,,,,,0.8,32,,,"{'model__estimator__learning_rate': 0.8, 'model__estimator__n_estimators': 32}",2,-2425.882898565456,-922.7742405790405,-1172.0391975661644,-1451.4782539080181,-1390.3713513381906,-1696.9417533972598,-1917.2874603400007,-2074.7371791070577,2.861210998144518,0.0023630638530895962,463.3313794731046
2,GradientBoostingRegressor,2.9997444450855255,0.00879630446434021,-1825.5021377594394,,,,,,,1.0,16,,,"{'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 16}",3,-2920.19126035373,-998.4498942453738,-1298.2300076210224,-1489.6604325949936,-1560.7865123713893,-2028.0854895446366,-2094.9904901157265,-2213.623015228642,1.7670667573262204,0.003314932124151294,570.913894898418
3,GradientBoostingRegressor,5.1609412133693695,0.007282733917236328,-1847.2683009558448,,,,,,,1.0,32,,,"{'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 32}",4,-2889.344890179231,-986.7207200090185,-1314.3840820981286,-1532.4938602984541,-1598.2922099077944,-2075.5082828907152,-2068.26494505717,-2313.137417206246,1.8924074285736139,0.0050012225546903185,568.9321608863866
0,SVR,0.9725748598575592,0.15933910012245178,-3838.889943011804,1,,,0.001,,rbf,,,,,"{'model__estimator__C': 1, 'model__estimator__gamma': 0.001, 'model__estimator__kernel': 'rbf'}",3,-3786.317315003256,-3690.4629238105576,-3404.122144592405,-4019.123772203084,-3622.5180020421562,-3887.063818737086,-4330.395502652272,-3971.116065053617,0.8018848557664983,0.07727379505893438,263.2728467344212
1,SVR,0.9772374033927917,0.16045379638671875,-3839.8906020938016,1,,,0.0001,,rbf,,,,,"{'model__estimator__C': 1, 'model__estimator__gamma': 0.0001, 'model__estimator__kernel': 'rbf'}",4,-3786.694038190641,-3691.3140085175096,-3405.0188612498278,-4020.3419134162264,-3623.956455156782,-3888.0618553664485,-4331.82398782072,-3971.91369703226,0.8023712984613056,0.07902737039051363,263.3812740965183
2,SVR,0.9770433306694031,0.1567959487438202,-3829.0557339580014,10,,,0.001,,rbf,,,,,"{'model__estimator__C': 10, 'model__estimator__gamma': 0.001, 'model__estimator__kernel': 'rbf'}",1,-3782.567681962209,-3681.9594844836597,-3394.686387189626,-4006.7274023510327,-3608.196741918075,-3877.7531140401807,-4317.095750386859,-3963.459309332371,0.7930497039179181,0.07352749139414352,262.5452114994634
3,SVR,0.9297295808792114,0.14499834179878235,-3838.8693716443436,10,,,0.0001,,rbf,,,,,"{'model__estimator__C': 10, 'model__estimator__gamma': 0.0001, 'model__estimator__kernel': 'rbf'}",2,-3786.307243885582,-3690.4421093228216,-3404.100878145359,-4019.096878691725,-3622.487077609488,-3887.04524366905,-4330.373112643311,-3971.1024291874164,0.711824397432879,0.06294272089604559,263.2733245723393
0,MLPRegressor,15.43027937412262,0.0167352557182312,-27712.716300838056,,tanh,5e-05,,"(1,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",8,-29616.68048786181,-29063.323597658033,-28293.24129386654,-27987.715837217595,-28184.72189626389,-26845.730572011526,-25988.97541157149,-25721.341310253552,5.763944466651152,0.005932071350339143,1312.114907829587
1,MLPRegressor,41.47821196913719,0.02932390570640564,-27679.747525620576,,tanh,5e-05,,"(50,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",3,-29599.045257750815,-29046.13016980381,-28264.88475806225,-27959.67477749061,-28146.553080450063,-26807.2406454419,-25941.28173160554,-25673.1697843596,18.677588773889124,0.003211658423383213,1322.839908713332
