,id,average_electricity_price,carbon_emitted,run_number,variable,value,carbon,number
1433,446.0,7.631643317443385,0.0,4,carbon_10,240.621826171875,carbon,10
1434,448.0,7.652560501088796,0.0,4,carbon_10,91.27523803710938,carbon,10
1435,454.0,7.751791500303668,0.0,4,carbon_10,90.19046783447266,carbon,10
1436,473.0,8.897661998755972,0.0,4,carbon_10,89.91856384277344,carbon,10
1437,477.0,9.215946639683409,0.0,4,carbon_10,156.32273864746094,carbon,10
1438,478.0,9.613737831211195,0.0,4,carbon_10,71.34290313720703,carbon,10
1439,480.0,10.04009099825978,0.0,4,carbon_10,114.71729278564453,carbon,10
1440,1.0,3.5283991495283424,0.0,1,carbon_11,107.15199279785156,carbon,11
1441,2.0,3.9097520004331594,0.0,1,carbon_11,73.59800720214844,carbon,11
1442,3.0,4.04118323021509,0.0,1,carbon_11,236.7423858642578,carbon,11
1443,4.0,4.105934636282814,0.0,1,carbon_11,140.21487426757812,carbon,11
1444,5.0,4.125592608208864,0.0,1,carbon_11,203.8825225830078,carbon,11
1445,6.0,4.18847726526909,0.0,1,carbon_11,247.5449676513672,carbon,11
1446,7.0,4.204944137527272,0.0,1,carbon_11,109.4609146118164,carbon,11
1447,8.0,4.245746653925586,0.0,1,carbon_11,151.8972930908203,carbon,11
1448,10.0,4.497471382427332,0.0,1,carbon_11,24.14788246154785,carbon,11
1449,11.0,4.616537954663102,0.0,1,carbon_11,195.5561981201172,carbon,11
1450,12.0,4.624611068090406,0.0,1,carbon_11,43.09436798095703,carbon,11
1451,13.0,4.689027901882318,0.0,1,carbon_11,233.9140625,carbon,11
1452,14.0,4.850121401041176,0.0,1,carbon_11,175.4383087158203,carbon,11
1453,15.0,4.881374837409325,0.0,1,carbon_11,248.9880828857422,carbon,11
1454,16.0,4.956789455956933,0.0,1,carbon_11,166.16720581054688,carbon,11
1455,17.0,5.009527654300877,0.0,1,carbon_11,198.9325408935547,carbon,11
1456,18.0,5.032646207814525,0.0,1,carbon_11,158.35604858398438,carbon,11
1457,19.0,5.087523423728591,0.0,1,carbon_11,247.32717895507812,carbon,11
