,Company,Name,Simplified_Type,Capacity,Start_date
250,Riverside Resource Recovery Limited,Edmonton,EfW,80.0,2011
252,RWE Npower Plc,Aberthaw B,Coal,1586.0,1971
253,RWE Npower Plc,Tilbury B ,Biomass_wood,750.0,1968
254,RWE Npower Plc,Aberthaw GT,OCGT,51.0,1971
255,RWE Npower Plc,Cowes ,OCGT,140.0,1982
256,RWE Npower Plc,Didcot GT,OCGT,100.0,1972
257,RWE Npower Plc,Fawley GT,OCGT,68.0,1969
258,RWE Npower Plc,Littlebrook GT,OCGT,105.0,1982
259,RWE Npower Plc,Tilbury GT,Biomass_wood,68.0,1968
260,RWE Npower Plc,Little Barford GT,OCGT,17.0,2006
262,RWE Npower Plc,Didcot B,CCGT,1430.0,1998
263,RWE Npower Plc,Great Yarmouth,CCGT,420.0,2001
264,RWE Npower Plc,Little Barford,CCGT,720.0,1995
265,RWE Npower Plc,Staythorpe C,CCGT,1724.0,2010
266,RWE Npower Plc,Pembroke,CCGT,2180.0,2012
268,RWE Npower Renewables Ltd,Black Rock,Hydro,2.0,2012
294,Affric/Beauly,Mullardoch Tunnel,Hydro,2.0,1955
295,Affric/Beauly,Fasnakyle,Hydro,69.0,1951
296,Affric/Beauly,Fasnakyle Compensation Set,Hydro,8.0,2006
297,Affric/Beauly,Deanie,Hydro,38.0,1963
298,Affric/Beauly,Culligran,Hydro,17.0,1962
299,Affric/Beauly,Culligran Compensation  Set,Hydro,2.0,1962
300,Affric/Beauly,Aigas,Hydro,20.0,1962
301,Affric/Beauly,Kilmorack,Hydro,20.0,1962
303,Breadalbane,Lubreoch,Hydro,4.0,1958
304,Breadalbane,Cashlie,Hydro,11.0,1959
305,Breadalbane,Lochay,Hydro,46.0,1958
306,Breadalbane,Lochay Compensation Set,Hydro,2.0,1959
307,Breadalbane,Finlarig,Hydro,17.0,1955
308,Breadalbane,Lednock,Hydro,3.0,1961
309,Breadalbane,St. Fillans,Hydro,17.0,1957
310,Breadalbane,Dalchonzie,Hydro,4.0,1958
312,Conon,Achanalt,Hydro,3.0,1956
313,Conon,Cuileg,Hydro,3.0,2002
314,Conon,Grudie Bridge,Hydro,19.0,1950
315,Conon,Mossford,Hydro,19.0,1957
316,Conon,Luichart,Hydro,34.0,1954
317,Conon,Orrin,Hydro,18.0,1959
318,Conon,Torr Achilty,Hydro,15.0,1954
319,Foyers,Foyers,Hydro,300.0,1974
321,Great Glen,Foyers Falls,Hydro,5.0,1968
322,Great Glen,Mucomir,Hydro,2.0,1962
323,Great Glen,Ceannacroc,Hydro,20.0,1956
324,Great Glen,Livishie,Hydro,17.0,1962
325,Great Glen,Glenmoriston,Hydro,37.0,1957
326,Great Glen,Glendoe,Hydro,100.0,2008
327,Great Glen,Quoich,Hydro,18.0,1955
