,Plant_Size,Average_Load_Factor,Efficiency,Operating_Period,Constr_1,Constr_2,Constr_3,Constr_4,Constr_5,Constr_6,Constr_7,Constr_8,Constr_Dur,Pre_1,Pre_2,Pre_3,Pre_4,Pre_5,Pre_6,Pre_7,Pre_8,Pre_Dur,Connect_system_cost:Medium _2018,Connect_system_cost:Medium _2020,Connect_system_cost:Medium _2025,Constr_cost:High _2018,Constr_cost:High _2020,Constr_cost:High _2025,Constr_cost:Low _2018,Constr_cost:Low _2020,Constr_cost:Low _2025,Constr_cost:Medium _2018,Constr_cost:Medium _2020,Constr_cost:Medium _2025,Fixed_cost:Medium _2018,Fixed_cost:Medium _2020,Fixed_cost:Medium _2025,Infra_cost:High _2018,Infra_cost:High _2020,Infra_cost:High _2025,Infra_cost:Low _2018,Infra_cost:Low _2020,Infra_cost:Low _2025,Infra_cost:Medium _2018,Infra_cost:Medium _2020,Infra_cost:Medium _2025,Insurance_cost:Medium _2018,Insurance_cost:Medium _2020,Insurance_cost:Medium _2025,Pre-dev_cost:High _2018,Pre-dev_cost:High _2020,Pre-dev_cost:High _2025,Pre-dev_cost:Low _2018,Pre-dev_cost:Low _2020,Pre-dev_cost:Low _2025,Pre-dev_cost:Medium _2018,Pre-dev_cost:Medium _2020,Pre-dev_cost:Medium _2025,Var_cost:Medium _2018,Var_cost:Medium _2020,Var_cost:Medium _2025
ACT Standard ,12,83%,21%,25 years ,50%,50%,,,,,,,2 years ,36.40%,36.40%,27.30%,,,,,,3 years ,"12,700","12,600","12,200","7,100","6,900","6,600","4,200","4,100","3,900","6,100","6,000","5,600","232,400","229,700","223,200","1,600","1,600","1,600","1,000","1,000","1,000","1,400","1,400","1,400","56,700","56,000","54,400",300,300,300,50,50,50,180,180,180,21,21,20
ACT Advanced ,9,83%,25%,25 years ,44.40%,44.40%,11.10%,,,,,,2 years ,36.40%,36.40%,27.30%,,,,,,3 years ,"12,700","12,600","12,200","12,300","12,000","11,400","4,300","4,200","4,000","7,100","7,000","6,600","157,700","156,000","151,600","1,600","1,600","1,600","1,000","1,000","1,000","1,400","1,400","1,400","83,300","82,400","80,100",980,980,980,90,90,90,410,410,410,40,39,38
ACT CHP ,1,83%,24%,25 years ,44.40%,44.40%,11.10%,,,,,,2 years ,36.40%,36.40%,27.30%,,,,,,3 years ,"12,700","12,600","12,200","16,700","16,300","15,400","4,900","4,800","4,500","9,000","8,800","8,300","157,700","156,000","151,600","1,600","1,600","1,600","1,000","1,000","1,000","1,400","1,400","1,400","83,300","82,400","80,100",980,980,980,90,90,90,410,410,410,40,39,38
Offshore R2 ,321,43%,0%,23 years ,33.30%,33.30%,33.30%,,,,,,3 years ,22.20%,22.20%,22.20%,22.20%,11.10%,,,,5 years ,"33,500","32,600","31,100","3,100","3,000","2,700","1,700","1,600","1,500","2,200","2,100","1,900","30,900","30,000","28,600","97,400","97,400","97,400","53,000","53,000","53,000","69,300","69,300","69,300","1,400","1,400","1,300",150,150,150,20,20,20,60,60,60,3,3,3
Offshore R3 ,844,48%,0%,22 years ,33.30%,33.30%,33.30%,,,,,,3 years ,22.20%,22.20%,22.20%,22.20%,11.10%,,,,5 years ,"50,300","48,900","47,000","2,700","2,600","2,400","2,100","2,000","1,800","2,400","2,300","2,100","48,600","47,300","45,400","372,400","372,400","372,400","281,400","281,400","281,400","323,000","323,000","323,000","3,300","3,300","3,100",190,190,190,60,60,60,120,120,120,4,3,3
PV>5MW ,16,11%,0%,25 years ,100%,,,,,,,,0 years ,100%,,,,,,,,1 years ,"1,300","1,300","1,200",700,700,600,600,600,500,700,600,600,"5,600","5,400","5,100",400,400,400,400,400,400,400,400,400,"2,000","1,900","1,800",170,170,170,10,10,10,70,70,70,- ,- ,- 
PV 1-5MW ground ,4,11%,0%,25 years ,100%,,,,,,,,0 years ,100%,,,,,,,,1 years ,"1,300","1,300","1,200",900,800,700,600,600,500,700,700,600,"8,300","8,000","7,500",300,300,300,200,200,200,200,200,200,"1,200","1,100","1,100",60,60,60,60,60,60,60,60,60,- ,- ,- 
Dedicated Biomass ,23,84%,29%,25 years ,50%,50%,,,,,,,2 years ,33.30%,33.30%,33.30%,,,,,,3 years ,"12,900","12,900","12,900","3,400","3,300","3,300","2,400","2,300","2,300","2,900","2,900","2,800","65,500","65,500","65,500",500,500,500,200,200,200,400,400,400,"11,500","11,500","11,500",160,160,160,80,80,80,110,110,110,8,8,8
Conversions ,349,79%,40%,15 years ,43.50%,43.50%,13%,,,,,,2 years ,50%,50%,,,,,,,2 years ,"10,500","10,500",- ,300,300,- ,200,200,- ,200,200,- ,"22,800","22,800",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"11,500","11,500",- ,120,120,- ,50,50,- ,80,80,- ,1,1,- 
Biomass CHP ,14,80%,23%,24 years ,50%,50%,,,,,,,2 years ,33.30%,33.30%,33.30%,,,,,,3 years ,"15,500","16,000","16,700","5,400","5,600","5,900","3,400","3,500","3,700","4,500","4,700","4,900","223,500","230,000","240,600","1,100","1,100","1,100",700,700,700,900,900,900,"44,000","45,300","47,400",580,580,580,40,40,40,270,270,270,11,11,11
Onshore UK>5MW ,20,32%,0%,24 years ,50%,50%,,,,,,,2 years ,25%,25%,25%,25%,,,,,4 years ,"3,100","3,100","3,000","1,500","1,500","1,400",900,800,800,"1,200","1,200","1,200","23,200","23,000","22,400","4,100","4,100","4,100","2,300","2,300","2,300","3,300","3,300","3,300","1,400","1,400","1,400",190,190,190,40,40,40,110,110,110,5,5,5
Landfill gas ,2,58%,100%,27.8571428571429 years ,100%,,,,,,,,0 years ,100%,,,,,,,,1 years ,"6,500","6,500","6,500","3,600","3,600","3,600",800,800,800,"2,200","2,200","2,200","81,000","81,000","81,000","1,000","1,000","1,000",500,500,500,700,700,700,"1,600","1,600","1,600",60,60,60,20,20,20,40,40,40,9,9,9
Sewage gas ,3,46%,100%,20 years ,56%,44%,,,,,,,2 years ,100%,,,,,,,,1 years ,"12,900","12,900","12,900","7,000","7,000","7,000","1,800","1,800","1,800","5,100","5,100","5,100","48,600","48,600","48,600",200,200,200,100,100,100,200,200,200,"36,600","36,600","36,600",420,420,420,410,410,410,420,420,420,12,12,12
Geothermal CHP ,3,90%,100%,25 years ,33.30%,33.30%,33.30%,,,,,,3 years ,100%,,,,,,,,1 years ,"12,900","12,900","12,900","9,400","9,300","9,100","3,000","3,000","2,900","6,900","6,800","6,700","81,000","81,000","81,000",500,500,500,200,200,200,300,300,300,"1,600","1,600","1,600",130,130,130,80,80,80,110,110,110,12,12,12
Hydro Large Store ,11,45%,100%,41 years ,70%,30%,,,,,,,2 years ,70%,30%,,,,,,,0 years ,"7,600","7,600","7,600",- ,- ,- ,- ,- ,- ,"3,200","3,200","3,200","25,700","25,700","25,700",- ,- ,- ,- ,- ,- ,- ,- ,- ,"1,000","1,000","1,000",- ,- ,- ,- ,- ,- ,60,60,60,6,6,6
Hydro 5-16MW ,11,35%,100%,41 years ,70%,30%,,,,,,,2 years ,77%,23%,,,,,,,2 years ,- ,- ,- ,"3,100","3,100","3,100","1,600","1,600","1,600","3,000","3,000","3,000","45,100","45,100","45,100",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,300,300,300,40,40,40,60,60,60,6,6,6
Wave ,9,30%,100%,20 years ,50%,50%,,,,,,,2 years ,33.30%,33.30%,33.30%,,,,,,3 years ,- ,- ,"32,300",- ,- ,"6,200",- ,- ,"2,600",- ,- ,"4,500",- ,- ,"40,600",- ,- ,"7,000",- ,- ,"2,900",- ,- ,"5,100",- ,- ,"11,900",- ,- ,270,- ,- ,40,- ,- ,130,- ,- ,24
Tidal stream ,18,31%,100%,22 years ,55.50%,44.50%,,,,,,,2 years ,23.30%,23.30%,23.30%,23.30%,7%,,,,4 years ,- ,- ,"60,400",- ,- ,"6,000",- ,- ,"2,400",- ,- ,"4,200",- ,- ,"91,400",- ,- ,"10,500",- ,- ,"4,200",- ,- ,"7,400",- ,- ,"2,500",- ,- ,270,- ,- ,40,- ,- ,130,- ,- ,7
AD < 250kW ,0.155,65%,38%,20 years ,100%,,,,,,,,0 years ,,,,,,,,,0 years ,- ,- ,- ,"7,900","7,700","7,300","3,700","3,600","3,400","5,800","5,700","5,400","758,700","758,700","758,700",100,100,100,100,100,100,100,100,100,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Hydropower <100kW ,0.033,60%,100%,35 years ,100%,,,,,,,,0 years ,,,,,,,,,0 years ,- ,- ,- ,"7,800","7,800","7,800","4,800","4,800","4,800","6,300","6,300","6,300","83,300","83,300","83,300",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Hydropower 500-2000kW ,1.046,40%,100%,35 years ,100%,,,,,,,,0 years ,,,,,,,,,0 years ,- ,- ,- ,"4,100","4,100","4,100","2,500","2,500","2,500","3,300","3,300","3,300","18,200","18,200","18,200",400,400,400,400,400,400,400,400,400,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Solar 100-1000kW ,0.455,11%,100%,30 years ,100%,,,,,,,,0 years ,,,,,,,,,0 years ,- ,- ,- ,"1,300","1,200","1,200",800,800,700,"1,000","1,000",900,"9,400","9,400","9,200",200,200,200,200,200,200,200,200,200,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Solar <10kW ,0.003,11%,100%,30 years ,100%,,,,,,,,0 years ,,,,,,,,,0 years ,- ,- ,- ,"1,900","1,800","1,700","1,200","1,100","1,000","1,500","1,500","1,400","23,500","23,400","23,200",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Onshore <50kW ,0.01,21%,100%,20 years ,100%,,,,,,,,0 years ,,,,,,,,,0 years ,- ,- ,- ,"4,600","4,500","4,300","2,800","2,800","2,600","3,700","3,600","3,500","29,700","29,600","29,600",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Onshore 250-1000kW ,0.482,26%,100%,20 years ,100%,,,,,,,,0 years ,,,,,,,,,0 years ,- ,- ,- ,"2,700","2,700","2,500","1,700","1,600","1,500","2,200","2,100","2,000","56,900","56,900","56,700",200,200,200,200,200,200,200,200,200,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
CCGT H Class ,"1,200",93%,54%,25 years ,40%,40%,20%,,,,,,3 years ,44%,44%,12%,,,,,,2 years ,"3,300","3,300","3,300",600,600,600,400,400,400,500,500,500,"12,200","12,200","12,200","30,200","30,200","30,200","7,600","7,600","7,600","15,100","15,100","15,100","2,100","2,100","2,100",20,20,20,10,10,10,10,10,10,3,3,3
CCGT F Class ,"1,471",93%,53%,25 years ,40%,40%,20%,,,,,,3 years ,44%,44%,12%,,,,,,2 years ,"3,300","3,300","3,300",500,600,600,400,400,400,500,500,500,"11,400","11,400","11,400","30,200","30,200","30,200","7,600","7,600","7,600","15,100","15,100","15,100","1,900","1,900","1,900",10,10,10,10,10,10,10,10,10,3,3,3
CCGT CHP mode ,168,93%,34%,25 years ,40%,40%,20%,,,,,,3 years ,43.50%,43.50%,13%,,,,,,2 years ,"3,300","3,300","3,300",800,800,900,600,600,600,700,700,700,"28,200","28,200","28,200","27,100","27,100","27,100","6,800","6,800","6,800","13,600","13,600","13,600","2,900","2,900","2,900",80,80,80,30,30,30,60,60,60,5,5,5
OCGT 600MW 500 hr ,625,6%,35%,25 years ,50%,50%,,,,,,,2 years ,55.60%,44.40%,,,,,,,2 years ,"2,400","2,400","2,400",300,300,300,300,300,300,300,300,300,"4,600","4,600","4,600","30,200","30,200","30,200","7,600","7,600","7,600","15,100","15,100","15,100","1,200","1,200","1,200",20,20,20,20,20,20,20,20,20,3,3,3
OCGT 600MW 2000 hr ,625,22%,35%,25 years ,50%,50%,,,,,,,2 years ,55.60%,44.40%,,,,,,,2 years ,"2,500","2,500","2,500",300,300,300,300,300,300,300,300,300,"6,800","6,800","6,800","30,200","30,200","30,200","7,600","7,600","7,600","15,100","15,100","15,100","1,200","1,200","1,200",20,20,20,20,20,20,20,20,20,3,3,3
OCGT 400MW 2000 hr ,400,22%,34%,25 years ,50%,50%,,,,,,,2 years ,55.60%,44.40%,,,,,,,2 years ,"2,500","2,500","2,500",400,400,400,300,300,300,300,300,300,"7,800","7,800","7,800","30,200","30,200","30,200","7,600","7,600","7,600","15,100","15,100","15,100","1,300","1,300","1,300",30,30,30,20,20,20,30,30,30,3,3,3
OCGT 300MW 2000 hr ,311,22%,35%,25 years ,50%,50%,,,,,,,2 years ,55.60%,44.40%,,,,,,,2 years ,"2,500","2,500","2,500",600,700,700,300,300,300,400,400,400,"9,500","9,500","9,500","27,100","27,100","27,100","6,800","6,800","6,800","13,600","13,600","13,600","1,600","1,600","1,600",40,40,40,30,30,30,30,30,30,3,3,3
OCGT 299MW 2000 hr ,299,22%,35%,25 years ,50%,50%,,,,,,,2 years ,55.60%,44.40%,,,,,,,2 years ,"2,500","2,500","2,500",600,700,700,300,300,300,400,400,400,"9,600","9,600","9,600","27,100","27,100","27,100","6,800","6,800","6,800","13,600","13,600","13,600","1,600","1,600","1,600",40,40,40,30,30,30,30,30,30,3,3,3
OCGT 400MW 500 hr ,400,6%,34%,25 years ,50%,50%,,,,,,,2 years ,55.60%,44.40%,,,,,,,2 years ,"2,400","2,400","2,400",400,400,400,300,300,300,300,300,300,"5,200","5,200","5,200","30,200","30,200","30,200","7,600","7,600","7,600","15,100","15,100","15,100","1,300","1,300","1,300",30,30,30,20,20,20,30,30,30,3,3,3
OCGT 300MW 500 hr ,311,6%,35%,25 years ,50%,50%,,,,,,,2 years ,55.60%,44.40%,,,,,,,2 years ,"2,400","2,400","2,400",600,700,700,300,300,300,400,400,400,"6,300","6,300","6,300","27,100","27,100","27,100","6,800","6,800","6,800","13,600","13,600","13,600","1,600","1,600","1,600",40,40,40,30,30,30,30,30,30,3,3,3
OCGT 299MW 500 hr ,299,6%,35%,25 years ,50%,50%,,,,,,,2 years ,55.60%,44.40%,,,,,,,2 years ,"2,400","2,400","2,400",600,700,700,300,300,300,400,400,400,"6,400","6,400","6,400","27,100","27,100","27,100","6,800","6,800","6,800","13,600","13,600","13,600","1,600","1,600","1,600",40,40,40,30,30,30,30,30,30,3,3,3
OCGT 100MW 500 hr ,96,6%,35%,25 years ,50%,50%,,,,,,,2 years ,55.60%,44.40%,,,,,,,2 years ,"2,400","2,400","2,400",800,800,800,600,600,600,600,600,600,"9,900","9,900","9,900","25,100","25,100","25,100","6,300","6,300","6,300","12,600","12,600","12,600","2,500","2,500","2,500",90,90,90,70,70,70,80,80,80,4,4,4
Gas - CCS CCGT Post FOAK ,963,88%,44%,25 years ,20%,20%,20%,20%,20%,,,,5 years ,20%,20%,20%,20%,20%,,,,5 years ,- ,- ,"3,300",- ,- ,"2,700",- ,- ,"1,700",- ,- ,"2,100",- ,- ,"31,000",- ,- ,"30,200",- ,- ,"7,600",- ,- ,"15,100",- ,- ,"7,300",- ,- ,80,- ,- ,30,- ,- ,50,- ,- ,3
Gas - CCS CCGT Retro Post FOAK ,618,88%,44%,25 years ,25%,25%,25%,25%,,,,,4 years ,25%,25%,25%,25%,,,,,4 years ,- ,- ,"3,300",- ,- ,"1,800",- ,- ,"1,200",- ,- ,"1,400",- ,- ,"30,900",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"7,400",- ,- ,50,- ,- ,20,- ,- ,30,- ,- ,3
Gas - CCS CCGT Pre FOAK ,"1,084",88%,38%,25 years ,20%,20%,20%,20%,20%,,,,5 years ,20%,20%,20%,20%,20%,,,,5 years ,- ,- ,"3,300",- ,- ,"2,600",- ,- ,"1,700",- ,- ,"2,000",- ,- ,"30,500",- ,- ,"30,200",- ,- ,"7,600",- ,- ,"15,100",- ,- ,"7,500",- ,- ,80,- ,- ,30,- ,- ,50,- ,- ,4
Gas - CCS CCGT oxy FOAK ,"1,038",88%,42%,25 years ,20%,20%,20%,20%,20%,,,,5 years ,16.70%,16.70%,16.70%,16.70%,16.70%,16.70%,,,6 years ,- ,- ,"3,300",- ,- ,"2,700",- ,- ,"1,700",- ,- ,"2,100",- ,- ,"83,800",- ,- ,"30,200",- ,- ,"7,600",- ,- ,"15,100",- ,- ,"7,500",- ,- ,80,- ,- ,30,- ,- ,40,- ,- ,4
Gas - CCS OCGT post FOAK ,290,85%,24%,25 years ,20%,20%,20%,20%,20%,,,,5 years ,20%,20%,20%,20%,20%,,,,5 years ,- ,- ,"2,500",- ,- ,"3,000",- ,- ,"1,900",- ,- ,"2,300",- ,- ,"31,800",- ,- ,"30,200",- ,- ,"7,600",- ,- ,"15,100",- ,- ,"8,500",- ,- ,120,- ,- ,60,- ,- ,80,- ,- ,3
Coal - CCS ASC Partial FOAK ,734,91%,38%,25 years ,20%,20%,20%,20%,20%,,,,5 years ,20%,20%,20%,20%,20%,,,,5 years ,- ,- ,"3,800",- ,- ,"3,400",- ,- ,"2,100",- ,- ,"2,600",- ,- ,"56,400",- ,- ,"15,000",- ,- ,"5,000",- ,- ,"10,000",- ,- ,"9,600",- ,- ,80,- ,- ,40,- ,- ,60,- ,- ,3
Coal - CCS ASC FOAK ,624,91%,32%,25 years ,20%,20%,20%,20%,20%,,,,5 years ,20%,20%,20%,20%,20%,,,,5 years ,- ,- ,"3,800",- ,- ,"5,500",- ,- ,"3,400",- ,- ,"4,200",- ,- ,"78,500",- ,- ,"15,000",- ,- ,"5,000",- ,- ,"10,000",- ,- ,"15,800",- ,- ,110,- ,- ,60,- ,- ,70,- ,- ,3
Coal - CCS ASC retrofit FOAK ,390,91%,31%,15 years ,25%,25%,25%,25%,,,,,4 years ,20%,20%,20%,20%,20%,,,,5 years ,- ,- ,"3,800",- ,- ,"3,000",- ,- ,"1,900",- ,- ,"2,400",- ,- ,"80,700",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"8,200",- ,- ,50,- ,- ,20,- ,- ,30,- ,- ,3
Recip Gas 2000 hr ,20,22%,32%,15 years ,100%,,,,,,,,1 years ,50%,50%,,,,,,,2 years ,"-31,900","-31,900","-31,900",300,300,300,300,300,300,300,300,300,"10,000","10,000","10,000","10,300","10,300","10,300",700,700,700,"3,400","3,400","3,400","1,000","1,000","1,000",20,20,20,10,10,10,10,10,10,2,2,2
RECIP GAS 500 hrs ,20,5%,32%,15 years ,100%,,,,,,,,1 years ,50%,50%,,,,,,,2 years ,"-28,500","-28,500","-28,500",300,300,300,300,300,300,300,300,300,"10,000","10,000","10,000","10,300","10,300","10,300",700,700,700,"3,400","3,400","3,400","1,000","1,000","1,000",20,20,20,10,10,10,10,10,10,2,2,2
Nuclear - PWR FOAK ,"3,300",90%,100%,60 years ,5%,5%,20%,20%,20%,20%,5%,5%,8 years ,20%,20%,20%,20%,20%,,,,5 years ,- ,- ,500,- ,- ,"5,100",- ,- ,"3,700",- ,- ,"4,100",- ,- ,"72,900",- ,- ,"50,000",- ,- ,- ,- ,- ,"11,500",- ,- ,"10,000",- ,- ,640,- ,- ,110,- ,- ,240,- ,- ,5
Pumped storage ,600,21%,77%,50 years ,22.20%,22.20%,22.20%,22.20%,11.10%,,,,5 years ,20%,20%,20%,20%,20%,,,,5 years ,"15,800","15,800","15,800","1,500","1,500","1,600",700,700,700,"1,000","1,000","1,000","11,200","11,200","11,200","50,000","50,000","50,000","10,000","10,000","10,000","25,000","25,000","25,000","4,100","4,100","4,100",50,50,50,30,30,30,40,40,40,42,42,42
OCGT 100MW 2000 hr ,96,22%,35%,25 years ,50%,50%,,,,,,,2 years ,55.60%,44.40%,,,,,,,2 years ,"2,500","2,500","2,500",800,800,800,600,600,600,600,600,600,"14,800","14,800","14,800","25,100","25,100","25,100","6,300","6,300","6,300","12,600","12,600","12,600","2,500","2,500","2,500",90,90,90,70,70,70,80,80,80,4,4,4
Recip Diesel 2000 hr ,20,22%,34%,15 years ,100%,,,,,,,,1 years ,50%,50%,,,,,,,2 years ,"-31,900","-31,900","-31,900",300,300,300,200,200,200,300,300,300,"10,000","10,000","10,000","6,500","6,500","6,500",400,400,400,"2,200","2,200","2,200","1,000","1,000","1,000",20,20,20,10,10,10,10,10,10,2,2,2
Recip Diesel 500 hrs ,20,5%,34%,15 years ,100%,,,,,,,,1 years ,50%,50%,,,,,,,2 years ,"-28,500","-28,500","-28,500",300,300,300,200,200,200,300,300,300,"10,000","10,000","10,000","6,500","6,500","6,500",400,400,400,"2,200","2,200","2,200","1,000","1,000","1,000",20,20,20,10,10,10,10,10,10,2,2,2
Recip Diesel 90 hrs ,20,1%,34%,15 years ,100%,,,,,,,,1 years ,50%,50%,,,,,,,2 years ,"-28,000","-28,000","-28,000",300,300,300,200,200,200,300,300,300,"10,000","10,000","10,000","6,500","6,500","6,500",400,400,400,"2,200","2,200","2,200","1,000","1,000","1,000",20,20,20,10,10,10,10,10,10,2,2,2
