,estimator,mean_fit_time,mean_score_time,mean_test_neg_mean_absolute_error,mean_test_neg_mean_squared_error,mean_test_r2,param_model__estimator__C,param_model__estimator__activation,param_model__estimator__alpha,param_model__estimator__gamma,param_model__estimator__hidden_layer_sizes,param_model__estimator__kernel,param_model__estimator__learning_rate,param_model__estimator__n_estimators,param_model__estimator__n_neighbors,param_model__estimator__solver,params,rank_test_neg_mean_absolute_error,rank_test_neg_mean_squared_error,rank_test_r2,split0_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split0_test_r2,split1_test_neg_mean_absolute_error,split1_test_neg_mean_squared_error,split1_test_r2,split2_test_neg_mean_absolute_error,split2_test_neg_mean_squared_error,split2_test_r2,split3_test_neg_mean_absolute_error,split3_test_neg_mean_squared_error,split3_test_r2,split4_test_neg_mean_absolute_error,split4_test_neg_mean_squared_error,split4_test_r2,split5_test_neg_mean_absolute_error,split5_test_neg_mean_squared_error,split5_test_r2,split6_test_neg_mean_absolute_error,split6_test_neg_mean_squared_error,split6_test_r2,split7_test_neg_mean_absolute_error,split7_test_neg_mean_squared_error,split7_test_r2,split8_test_neg_mean_absolute_error,split8_test_neg_mean_squared_error,split8_test_r2,split9_test_neg_mean_absolute_error,split9_test_neg_mean_squared_error,split9_test_r2,std_fit_time,std_score_time,std_test_neg_mean_absolute_error,std_test_neg_mean_squared_error,std_test_r2
1,AdaBoostRegressor,7719.188469219208,15.700145244598389,-3482.885476903929,-18035581.539793294,0.5695851789099381,,,,,,,,32,,,{'model__estimator__n_estimators': 32},2,2,2,-2757.3428859983815,-11702031.358974153,0.7390089346661469,-3311.1957276682715,-17560584.446654864,0.6586317040714872,-3599.9959153912096,-18208909.005471185,0.4828034430056137,-3477.315964397481,-16777110.088383593,0.6536392882231822,-3779.6622901772266,-21398901.444849655,0.5378365682136089,-3603.9625531051147,-18888660.59617506,0.5881853449761797,-3597.874406969493,-19542718.552905302,0.5841644739701538,-3711.1407667096682,-20143025.471703917,0.2164555721927566,-3584.4754305231386,-19011481.461919826,0.606622543819945,-3405.8888280993106,-17122392.97089539,0.6285039159603066,3708.6423457277615,3.9275739808231465,274.5802914861665,2499840.265273217,0.13503334960501684
0,GradientBoostingRegressor,3320.017935490608,2.689198708534241,-1960.5826516538918,-7366174.267514536,0.8291778062560994,,,,,,,0.8,16,,,"{'model__estimator__learning_rate': 0.8, 'model__estimator__n_estimators': 16}",2,1,1,-2375.180964564919,-10364979.662008146,0.7687487242437369,-2295.613813921753,-10749195.879390834,0.7910459926957972,-1564.0324043709763,-5119564.561058138,0.8545982309405361,-1751.1782050122613,-5627963.799556203,0.8838140614693938,-1948.1475549269533,-8330828.358066291,0.8200786993617154,-1913.1145230735299,-6232190.756731451,0.8641256469174499,-2005.7255814890784,-7689440.09560946,0.8363807370182131,-1859.324747726729,-6421566.7813608805,0.7501795526903544,-2088.0063223934762,-7554977.137767851,0.8436761320291032,-1805.5023990592438,-5571035.643596104,0.8791302851946932,1881.7114561089281,0.29362837728985697,232.42752426199007,1870233.3876574696,0.04363396695995305
1,GradientBoostingRegressor,5666.814855766296,3.7449414253234865,-1903.915015167084,-7398534.194226756,0.8285575023703151,,,,,,,0.8,32,,,"{'model__estimator__learning_rate': 0.8, 'model__estimator__n_estimators': 32}",1,2,2,-2331.788459407948,-10762064.863748582,0.7599170442795068,-2247.252631967592,-10529594.646285707,0.7953157122801148,-1644.7005251853413,-6115979.558189854,0.8262905075499886,-1661.9874228470464,-5331732.984406804,0.8899308885026885,-1897.8243771835812,-8547439.495845271,0.8153996537533552,-1901.4767123958711,-7090975.106092915,0.8454080985947798,-1954.54557194452,-7929232.276558074,0.8312746865011471,-1746.9535553194576,-5890044.489807449,0.7708470859694758,-1982.8967780897608,-6919440.545526549,0.8568260863436118,-1669.7241173297245,-4868837.975806343,0.8943652599284816,2934.255898883872,0.8447766979216412,226.9370848917914,1939952.1402349072,0.043026830588577376
2,GradientBoostingRegressor,3285.288103055954,2.7846796989440916,-2062.526319714633,-8393854.899613548,0.8039001913835785,,,,,,,1.0,16,,,"{'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 16}",4,3,3,-2482.9595297413484,-11901558.564832868,0.7344871934935197,-2424.4983959734054,-11895399.706872178,0.7687661763001121,-1877.058941254835,-8709663.672223022,0.7527246972513507,-1812.7527680743408,-6107488.15685428,0.8739128636413692,-2045.0059993504526,-9282256.260438232,0.799536242255329,-1965.6844157005196,-6803540.288275213,0.851675101154533,-2089.7453820864885,-8291482.89473665,0.8235652754154694,-1907.9688704768384,-6935258.311651009,0.7302518344172834,-2157.193940319916,-8044509.152330433,0.8335522548494717,-1862.3949541681825,-5967391.9879216,0.8705302750573458,1838.5288115774595,0.3749345000480233,220.8849392767198,2033669.4763701612,0.05196572308350632
3,GradientBoostingRegressor,5774.531065678597,3.6718599081039427,-2044.5633433159219,-8699530.738110323,0.797212781644422,,,,,,,1.0,32,,,"{'model__estimator__learning_rate': 1.0, 'model__estimator__n_estimators': 32}",3,4,4,-2585.9718613447662,-13381251.481652943,0.7014581752228599,-2396.012702605523,-11876742.303567624,0.7691258359100654,-1885.600113038534,-9064973.332927391,0.7426354186286929,-1760.7404042515911,-6059136.590241067,0.874911321965605,-2002.8797014775548,-9589902.877882011,0.7928899162235922,-2109.4431770568754,-8632645.752513243,0.8118017400669041,-2053.3789699648332,-8866589.472752558,0.8113326125038025,-1852.8880559779275,-6735642.18332024,0.7379831401253637,-2052.1754664252526,-7411358.201000608,0.8466510228691648,-1746.542981016365,-5377065.185245532,0.8833386329281684,3104.4002882527607,0.9953887377251939,255.75432264078484,2376943.012753445,0.05724894739595233
0,SVR,26888.887876605986,6722.705586338043,-4016.88388127073,-24950134.11520781,0.4200411840326879,1,,,,,linear,,,,,"{'model__estimator__C': 1, 'model__estimator__kernel': 'linear'}",2,2,2,-4733.391720701077,-34068179.66981131,0.2402049755933894,-5126.300427510289,-40643514.16347151,0.209910924083251,-4190.707320723465,-26522226.798775107,0.2467467788398867,-3915.2090615153843,-22653160.98627967,0.5323243309585016,-3959.2697956068732,-24498490.9295347,0.4709261115881527,-3901.333526786746,-23404538.060121533,0.48971466891372256,-3740.8788742800184,-20862006.770596966,0.5560853462400227,-3616.944780845606,-19360309.363749493,0.24679948143245645,-3636.1353024420023,-20977844.894762594,0.5659377345312372,-3348.6680022958412,-16511069.514975185,0.6417614881462587,17771.516564642236,1523.445122193399,512.7401067330362,6889972.138434294,0.15669853624358995
1,SVR,27002.126075434684,6852.794652175903,-2591.4306659601384,-11817530.897874134,0.7263686983456835,10,,,,,linear,,,,,"{'model__estimator__C': 10, 'model__estimator__kernel': 'linear'}",1,1,1,-2978.6659472492406,-13528457.165544977,0.6982741758217405,-3230.0241004068594,-18264800.193981994,0.6449577822917304,-2418.569275724201,-10123753.089528479,0.7124920546990502,-2475.662431081372,-10252923.336037174,0.7883310827447311,-2671.1963796782907,-14351295.994486174,0.6900562278208585,-2331.1898886936488,-9343774.421087572,0.7962833522679441,-2563.965241806562,-11988337.04105938,0.7449109126468407,-2298.373306484922,-9653272.715435965,0.6243933420361488,-2703.3067005145044,-12366574.530261619,0.7441173209532289,-2243.3533879617844,-8302120.491318003,0.8198707321745625,17925.70546298447,1564.6029393326983,299.23818561554987,2823537.0421403097,0.061201326012462656
2,SVR,29533.52417881489,7590.790464353561,-5976.699891812673,-52417045.60411946,-0.24396530995230437,1,,,0.001,,rbf,,,,,"{'model__estimator__C': 1, 'model__estimator__gamma': 0.001, 'model__estimator__kernel': 'rbf'}",5,5,5,-5566.838538482436,-46827438.690241456,-0.04432793914577491,-6462.939795997103,-62134383.158401154,-0.2079374045410792,-5653.225419413221,-49689619.00718847,-0.41145788958897844,-5856.73929158389,-48370893.96105841,0.0014083339368011992,-5916.050666832355,-53132957.26356254,-0.14749353229019663,-6072.461720051681,-54602720.8615401,-0.19042851253050583,-5866.716712309739,-47509652.13907939,-0.010970271362057646,-6171.058996857538,-56065042.98194016,-1.1806442436366011,-5803.890263300415,-48260906.492693365,0.0013980661659770226,-6397.077513298347,-57576841.48548943,-0.24919970653062792,19028.275571768983,1659.3474220742658,281.5568829481236,4858576.342212588,0.3366708733713716
3,SVR,28730.887742137907,7557.790478730201,-5983.039735870746,-52524014.02881677,-0.2465833897745543,1,,,0.0001,,rbf,,,,,"{'model__estimator__C': 1, 'model__estimator__gamma': 0.0001, 'model__estimator__kernel': 'rbf'}",6,6,6,-5568.590245760056,-46856109.07173627,-0.04496727149957469,-6466.209343244329,-62194493.1700531,-0.20910618621673535,-5656.998972084883,-49758769.00631539,-0.4134227816155606,-5862.314435623888,-48457870.57225913,-0.00038718697271101593,-5922.015486181154,-53239890.93019404,-0.14980311383615874,-6078.291801374752,-54703250.87428107,-0.1926200649921194,-5873.094018375007,-47613392.402167656,-0.013177801665934852,-6180.521255798162,-56232622.31355848,-1.1871646080451663,-5812.121641784471,-48383800.2447122,-0.0011449084943560006,-6410.240158480763,-57799941.70289034,-0.25403997440722603,18823.154368803767,1766.769028243919,283.1422874842313,4877804.139198584,0.3379714278725745
4,SVR,29073.172727298737,7714.08213019371,-5916.22388024156,-51396755.83373148,-0.21928752331813375,10,,,0.001,,rbf,,,,,"{'model__estimator__C': 10, 'model__estimator__gamma': 0.001, 'model__estimator__kernel': 'rbf'}",3,3,3,-5549.519654395059,-46546337.464886226,-0.03805963308888827,-6432.161866078673,-61578944.61091869,-0.19713726261225326,-5616.643317238744,-49029457.257437356,-0.392701273718645,-5801.485731138028,-47506147.576467104,0.019259945295086827,-5857.890998116592,-52099218.68953017,-0.12516739174963334,-6011.2955412163765,-53565962.89507717,-0.1678273145031742,-5803.763937198874,-46494462.67947938,0.010632607887212833,-6091.515932790407,-54633229.65668585,-1.1249669289865263,-5725.623820751468,-47043162.26562827,0.02659622204850473,-6272.338003491391,-55470635.24120455,-0.2035042037530215,18855.54422012165,1667.7940840678366,268.8008353523509,4724414.106600459,0.3264421143344002
5,SVR,29232.210701990127,7621.47504734993,-5976.676174706619,-52416645.259652264,-0.2439558124645415,10,,,0.0001,,rbf,,,,,"{'model__estimator__C': 10, 'model__estimator__gamma': 0.0001, 'model__estimator__kernel': 'rbf'}",4,4,4,-5566.8286675211375,-46827272.999159954,-0.044324244406969894,-6462.921749957106,-62134042.115579545,-0.20793077271582514,-5653.211391925289,-49689365.40033257,-0.411450683483471,-5856.71398389155,-48370493.044912316,0.001416610249687945,-5916.027216037032,-53132540.37538574,-0.14748452804545434,-6072.438815447492,-54602342.54144383,-0.19042026489963168,-5866.696258913427,-47509315.56820301,-0.01096310923913619,-6171.03305046912,-56064574.94244573,-1.1806260379951923,-5803.863400212703,-48260499.75557795,0.0014064827462226166,-6397.027212691329,-57576005.85348198,-0.24918157685564477,18837.76052131023,1649.8230872444062,281.55076598515427,4858496.561505311,0.3366678130364336
0,MLPRegressor,2967.9263800382614,1.9316524505615233,-33893.72925358662,-1199809604.1933687,-26.72255537652504,,tanh,5e-05,,"(1,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",7,7,7,-35218.32177328332,-1285170367.6778653,-27.6613870137913,-39283.41096931969,-1594625179.359195,-30.000665789754745,-33244.79625589788,-1140421184.403968,-31.394231176723746,-36418.699723371596,-1374760967.8879364,-27.381230324126943,-33601.52009222318,-1175365860.3673651,-24.38393946097811,-32775.87336397843,-1120126295.8351696,-23.42055937943681,-34184.85956359762,-1215598739.6485944,-24.867065777154924,-29355.00236086756,-887427032.5747331,-33.51613968689268,-34312.575154559185,-1225681399.8738472,-24.361499665607113,-30542.23327876777,-978919014.3050108,-20.238835490784016,1456.5045010948638,0.20971234700818864,2665.099398801525,187494495.65399063,3.8401426955350177
1,MLPRegressor,8443.092425394057,9.839103245735169,-32496.694596734425,-1110187553.851533,-24.58224487149297,,tanh,5e-05,,"(50,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",6,5,6,-34953.413426718456,-1266581278.5030878,-27.24681904685845,-38764.22866048908,-1554104208.8957005,-29.212907808904607,-32471.874987939187,-1089627363.031933,-29.951408886954194,-35401.16497888383,-1301681756.5155272,-25.872547815622088,-32329.55701061767,-1091503952.983158,-22.572804589476576,-31249.92963537447,-1022426507.2521553,-21.290546005382723,-32414.416012178455,-1097688479.642939,-22.358020162742818,-27330.379624829686,-772660514.0637861,-29.05233322076097,-32033.680766044185,-1074485294.49318,-21.232987435541165,-28018.300864269226,-831116183.1338612,-17.03207374268612,3625.574642307226,2.5685094482197663,3198.5050428294217,214453033.03976732,4.087302352560417
2,MLPRegressor,2999.618091225624,1.98618483543396,-33893.97996232237,-1199826260.6451447,-26.722937037502685,,tanh,0.0005,,"(1,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",8,8,8,-35218.94995851319,-1285214623.877268,-27.66237243215434,-39283.084358359105,-1594599506.61293,-30.00016568868887,-33244.85530027022,-1140425105.1709492,-31.394343836921195,-36418.88275624429,-1374774291.8590214,-27.381505357904583,-33602.2121122858,-1175412363.195884,-24.38494401902714,-32776.009634848764,-1120135226.0090845,-23.420753752829256,-34185.39232059963,-1215635162.627425,-24.86784072362344,-29355.146929148275,-887435512.5641614,-33.51647193903984,-34312.897670191414,-1225703534.8760414,-24.361957821637407,-30542.36858276308,-978927279.6586813,-20.239014803200785,1475.3576915813676,0.17490552245295637,2665.036437094256,187489464.3935155,3.840027541588491
3,MLPRegressor,8440.147195768357,9.68427267074585,-32496.686194431302,-1110187754.9560869,-24.582230367031233,,tanh,0.0005,,"(50,)",,,,,adam,"{'model__estimator__activation': 'tanh', 'model__estimator__alpha': 0.0005, 'model__estimator__hidden_layer_sizes': (50,), 'model__estimator__solver': 'adam'}",5,6,5,-34953.71269415187,-1266602212.779095,-27.247285095847918,-38764.36328516552,-1554114651.388692,-29.213111343187325,-32471.917846665863,-1089630149.0766973,-29.951487047629154,-35401.316359052704,-1301692472.0387866,-25.872769278610008,-32329.41841446122,-1091494993.4431853,-22.572610767236984,-31249.919689558796,-1022425891.0454236,-21.290532286312406,-32414.24335783817,-1097677286.301709,-22.35778192703889,-27330.17278887602,-772649202.1056232,-29.051895085245224,-32033.62249539939,-1074481559.2109363,-21.23291018855374,-28018.175013143536,-831109132.1707214,-17.031920650650665,3583.3191845263837,2.6103269979173165,3198.6215532253887,214460580.17815867,4.087383350317178
4,MLPRegressor,3168.5916282892226,2.486382579803467,-25318.450040852553,-830310970.781729,-18.27557030610096,,relu,5e-05,,"(1,)",,,,,adam,"{'model__estimator__activation': 'relu', 'model__estimator__alpha': 5e-05, 'model__estimator__hidden_layer_sizes': (1,), 'model__estimator__solver': 'adam'}",4,4,4,-34315.03907401038,-1221875273.3916042,-26.24955718920572,-35247.14096981047,-1308145564.6269672,-24.42838986369041,-31218.06845014913,-1030879340.1015099,-28.284616357634516,-24122.02873224564,-755911407.3355103,-14.607966861904812,-21573.566460073704,-674222970.048062,-13.559598420957869,-25815.558049212716,-847073027.4661522,-17.46570861280685,-20622.57344083511,-656558639.9804683,-12.973177799979632,-19749.691348697383,-554722283.7119843,-20.582583305342713,-18764.457783911777,-591184829.8667061,-11.229745608473815,-21756.376099579196,-662536371.2883269,-13.374359041013273,1628.7135489615755,0.3365525582593913,5820.062063277788,253677851.39568058,5.8742951304123565
