year,type,run_id,,index,run_id,Type,value,Technology,year,value_perc
2013.0,Predicted,8.0,3,840,8.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,8.0,4,1104,8.0,Predicted,1164.245961433104,Wind,2013.0,4.538489256221329
2013.0,Predicted,8.0,5,1368,8.0,Predicted,7113.66023059361,Gas,2013.0,27.730627031093302
2013.0,Predicted,9.0,0,54,9.0,Predicted,10962.651708904092,Coal,2013.0,42.74684357155827
2013.0,Predicted,9.0,1,318,9.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,9.0,2,582,9.0,Predicted,6487.298120378077,Nuclear,2013.0,25.296025570950825
2013.0,Predicted,9.0,3,846,9.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,9.0,4,1110,9.0,Predicted,1164.510366314154,Wind,2013.0,4.540793941839594
2013.0,Predicted,9.0,5,1374,9.0,Predicted,7031.063059360732,Gas,2013.0,27.416336915651307
2013.0,Predicted,10.0,0,60,10.0,Predicted,10810.261340182631,Coal,2013.0,42.20557746770416
2013.0,Predicted,10.0,1,324,10.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,10.0,2,588,10.0,Predicted,6492.587226037256,Nuclear,2013.0,25.348452226198674
2013.0,Predicted,10.0,3,852,10.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,10.0,4,1116,10.0,Predicted,1164.6594965502272,Wind,2013.0,4.547080321031119
2013.0,Predicted,10.0,5,1380,10.0,Predicted,7145.839719178083,Gas,2013.0,27.898889985066056
2013.0,Predicted,11.0,0,66,11.0,Predicted,10822.481900684914,Coal,2013.0,42.15278723681411
2013.0,Predicted,11.0,1,330,11.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,11.0,2,594,11.0,Predicted,6499.442127771686,Nuclear,2013.0,25.314858798942208
2013.0,Predicted,11.0,3,858,11.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,11.0,4,1122,11.0,Predicted,1164.6594965502272,Wind,2013.0,4.5362648246433945
2013.0,Predicted,11.0,5,1386,11.0,Predicted,7187.832356164385,Gas,2013.0,27.99608913960029
2013.0,Predicted,12.0,0,72,12.0,Predicted,10976.454433789935,Coal,2013.0,42.77248857881541
2013.0,Predicted,12.0,1,336,12.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,12.0,2,600,12.0,Predicted,6434.319888123467,Nuclear,2013.0,25.07293002374183
2013.0,Predicted,12.0,3,864,12.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,12.0,4,1128,12.0,Predicted,1163.781108908903,Wind,2013.0,4.534962950860624
2013.0,Predicted,12.0,5,1392,12.0,Predicted,7087.86169406393,Gas,2013.0,27.619618446582127
2013.0,Predicted,13.0,0,78,13.0,Predicted,10953.452447488566,Coal,2013.0,42.780340940091776
2013.0,Predicted,13.0,1,342,13.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,13.0,2,606,13.0,Predicted,6457.974617159266,Nuclear,2013.0,25.222582307177216
2013.0,Predicted,13.0,3,870,13.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,13.0,4,1134,13.0,Predicted,1164.335584594177,Wind,2013.0,4.547486147989867
2013.0,Predicted,13.0,5,1398,13.0,Predicted,7028.176465753428,Gas,2013.0,27.449590604741132
2013.0,Predicted,14.0,0,84,14.0,Predicted,10822.564598173498,Coal,2013.0,42.08170618668035
2013.0,Predicted,14.0,1,348,14.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,14.0,2,612,14.0,Predicted,6460.892982350681,Nuclear,2013.0,25.122086148855317
2013.0,Predicted,14.0,3,876,14.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,14.0,4,1140,14.0,Predicted,1164.3775837892683,Wind,2013.0,4.527484675826858
2013.0,Predicted,14.0,5,1404,14.0,Predicted,7270.144401826487,Gas,2013.0,28.268722988637467
2013.0,Predicted,15.0,0,90,15.0,Predicted,10873.347800228292,Coal,2013.0,42.439924164240786
2013.0,Predicted,15.0,1,354,15.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,15.0,2,618,15.0,Predicted,6499.442127771686,Nuclear,2013.0,25.368068425688616
2013.0,Predicted,15.0,3,882,15.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,15.0,4,1146,15.0,Predicted,1164.6594965502272,Wind,2013.0,4.545799657922902
2013.0,Predicted,15.0,5,1410,15.0,Predicted,7083.114264840185,Gas,2013.0,27.646207752147706
2013.0,Predicted,16.0,0,96,16.0,Predicted,10939.273570776239,Coal,2013.0,42.7003017485674
2013.0,Predicted,16.0,1,360,16.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,16.0,2,624,16.0,Predicted,6499.442127771686,Nuclear,2013.0,25.369887521106104
2013.0,Predicted,16.0,3,888,16.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,16.0,4,1152,16.0,Predicted,1164.6594965502272,Wind,2013.0,4.5461256284772125
2013.0,Predicted,16.0,5,1416,16.0,Predicted,7015.351424657536,Gas,2013.0,27.38368510184929
2013.0,Predicted,17.0,0,102,17.0,Predicted,10719.046551369844,Coal,2013.0,41.80579134991344
2013.0,Predicted,17.0,1,366,17.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,17.0,2,630,17.0,Predicted,6499.442127771686,Nuclear,2013.0,25.34873975799058
2013.0,Predicted,17.0,3,894,17.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,17.0,4,1158,17.0,Predicted,1164.6505354554786,Wind,2013.0,4.542301131679894
2013.0,Predicted,17.0,5,1422,17.0,Predicted,7256.960410958907,Gas,2013.0,28.303167760416088
2013.0,Predicted,18.0,0,108,18.0,Predicted,10951.96596689496,Coal,2013.0,42.646818234926
2013.0,Predicted,18.0,1,372,18.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,18.0,2,636,18.0,Predicted,6499.442127771686,Nuclear,2013.0,25.308746200394232
2013.0,Predicted,18.0,3,900,18.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,18.0,4,1164,18.0,Predicted,1164.6594965502272,Wind,2013.0,4.5351694851038555
2013.0,Predicted,18.0,5,1428,18.0,Predicted,7064.549205479455,Gas,2013.0,27.5092660795759
2013.0,Predicted,19.0,0,114,19.0,Predicted,10898.254444063909,Coal,2013.0,42.53197198764357
2013.0,Predicted,19.0,1,378,19.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,19.0,2,642,19.0,Predicted,6499.442127771686,Nuclear,2013.0,25.364987754003554
2013.0,Predicted,19.0,3,906,19.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,19.0,4,1170,19.0,Predicted,1164.6594965502272,Wind,2013.0,4.545247620769062
2013.0,Predicted,19.0,5,1434,19.0,Predicted,7061.319333333336,Gas,2013.0,27.557792637583812
2013.0,Predicted,20.0,0,120,20.0,Predicted,10806.343986301352,Coal,2013.0,42.111211856234384
2013.0,Predicted,20.0,1,384,20.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,20.0,2,648,20.0,Predicted,6470.61391022027,Nuclear,2013.0,25.2153173690009
2013.0,Predicted,20.0,3,912,20.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,20.0,4,1176,20.0,Predicted,1163.9050977858437,Wind,2013.0,4.535618541806803
2013.0,Predicted,20.0,5,1440,20.0,Predicted,7220.578484018267,Gas,2013.0,28.137852232957922
2013.0,Predicted,21.0,0,126,21.0,Predicted,10760.811939497698,Coal,2013.0,42.00855813471732
2013.0,Predicted,21.0,1,390,21.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,21.0,2,654,21.0,Predicted,6475.41799607196,Nuclear,2013.0,25.279037944722354
2013.0,Predicted,21.0,3,918,21.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,21.0,4,1182,21.0,Predicted,1161.076123613241,Wind,2013.0,4.532662973005718
2013.0,Predicted,21.0,5,1446,21.0,Predicted,7218.455150684934,Gas,2013.0,28.1797409475546
2013.0,Predicted,22.0,0,132,22.0,Predicted,10510.210141552496,Coal,2013.0,41.056489547590374
2013.0,Predicted,22.0,1,396,22.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,22.0,2,660,22.0,Predicted,6489.31090209132,Nuclear,2013.0,25.349476521829235
2013.0,Predicted,22.0,3,924,22.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,22.0,4,1188,22.0,Predicted,1164.5885468525105,Wind,2013.0,4.549282731470754
2013.0,Predicted,22.0,5,1452,22.0,Predicted,7435.278611872149,Gas,2013.0,29.044751199109637
2013.0,Predicted,23.0,0,138,23.0,Predicted,10454.982918949756,Coal,2013.0,40.83126452101804
2013.0,Predicted,23.0,1,402,23.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,23.0,2,666,23.0,Predicted,6487.298120378077,Nuclear,2013.0,25.335726287965
2013.0,Predicted,23.0,3,930,23.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,23.0,4,1194,23.0,Predicted,1164.5510923399534,Wind,2013.0,4.5480795203776125
2013.0,Predicted,23.0,5,1458,23.0,Predicted,7498.504958904111,Gas,2013.0,29.284929670639343
2013.0,Predicted,24.0,0,144,24.0,Predicted,10970.331482876694,Coal,2013.0,42.772350098328815
2013.0,Predicted,24.0,1,408,24.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,24.0,2,672,24.0,Predicted,6487.298120378077,Nuclear,2013.0,25.293400370822727
2013.0,Predicted,24.0,3,936,24.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,24.0,4,1200,24.0,Predicted,1164.5557593687204,Wind,2013.0,4.5404996855831055
2013.0,Predicted,24.0,5,1464,24.0,Predicted,7025.999639269408,Gas,2013.0,27.393749845265354
2013.0,Predicted,25.0,0,150,25.0,Predicted,10763.228924657516,Coal,2013.0,42.0388930142535
2013.0,Predicted,25.0,1,414,25.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,25.0,2,678,25.0,Predicted,6484.1140208785355,Nuclear,2013.0,25.325576323241446
2013.0,Predicted,25.0,3,942,25.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,25.0,4,1206,25.0,Predicted,1164.5297420420081,Wind,2013.0,4.54840657764584
2013.0,Predicted,25.0,5,1470,25.0,Predicted,7191.15382648402,Gas,2013.0,28.087124084859212
2013.0,Predicted,26.0,0,156,26.0,Predicted,10950.845988584453,Coal,2013.0,42.73421253667629
2013.0,Predicted,26.0,1,420,26.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,26.0,2,684,26.0,Predicted,6499.442127771686,Nuclear,2013.0,25.36320404355587
2013.0,Predicted,26.0,3,948,26.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,26.0,4,1212,26.0,Predicted,1164.6594965502272,Wind,2013.0,4.544927990980666
2013.0,Predicted,26.0,5,1476,26.0,Predicted,7010.529817351599,Gas,2013.0,27.35765542878717
2013.0,Predicted,27.0,0,162,27.0,Predicted,10882.310242009116,Coal,2013.0,42.49912511309933
2013.0,Predicted,27.0,1,426,27.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,27.0,2,690,27.0,Predicted,6469.373255806388,Nuclear,2013.0,25.26510431034118
2013.0,Predicted,27.0,3,954,27.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,27.0,4,1218,27.0,Predicted,1162.4935431114145,Wind,2013.0,4.53993292170109
2013.0,Predicted,27.0,5,1482,27.0,Predicted,7091.785936073061,Gas,2013.0,27.695837654858398
2013.0,Predicted,28.0,0,168,28.0,Predicted,10867.78515410957,Coal,2013.0,42.3917950251798
2013.0,Predicted,28.0,1,432,28.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,28.0,2,696,28.0,Predicted,6496.258028272141,Nuclear,2013.0,25.339849367656615
2013.0,Predicted,28.0,3,960,28.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,28.0,4,1224,28.0,Predicted,1164.6334792235148,Wind,2013.0,4.542867109590955
2013.0,Predicted,28.0,5,1488,28.0,Predicted,7107.853114155252,Gas,2013.0,27.725488497572627
2013.0,Predicted,29.0,0,174,29.0,Predicted,10950.696465753406,Coal,2013.0,42.67386268237067
2013.0,Predicted,29.0,1,438,29.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,29.0,2,702,29.0,Predicted,6479.031915345384,Nuclear,2013.0,25.24819486457419
2013.0,Predicted,29.0,3,966,29.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,29.0,4,1230,29.0,Predicted,1164.4999988744282,Wind,2013.0,4.537950001718839
2013.0,Predicted,29.0,5,1494,29.0,Predicted,7067.138502283106,Gas,2013.0,27.53999245133631
2013.0,Predicted,30.0,0,180,30.0,Predicted,10980.585971461169,Coal,2013.0,42.85092005780138
2013.0,Predicted,30.0,1,444,30.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,30.0,2,708,30.0,Predicted,6460.944648235795,Nuclear,2013.0,25.213355948306532
2013.0,Predicted,30.0,3,972,30.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,30.0,4,1236,30.0,Predicted,1164.604224577168,Wind,2013.0,4.544781367409421
2013.0,Predicted,30.0,5,1500,30.0,Predicted,7018.9531506849335,Gas,2013.0,27.390942626482655
2013.0,Predicted,31.0,0,186,31.0,Predicted,10864.950442922354,Coal,2013.0,42.34426310661521
2013.0,Predicted,31.0,1,450,31.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,31.0,2,714,31.0,Predicted,6444.567067532964,Nuclear,2013.0,25.116584281671507
2013.0,Predicted,31.0,3,978,31.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,31.0,4,1242,31.0,Predicted,1162.0599355606155,Wind,2013.0,4.528927390468602
2013.0,Predicted,31.0,5,1506,31.0,Predicted,7187.035187214616,Gas,2013.0,28.01022522124467
2013.0,Predicted,32.0,0,192,32.0,Predicted,10851.957287671215,Coal,2013.0,42.297536932523954
2013.0,Predicted,32.0,1,456,32.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,32.0,2,720,32.0,Predicted,6499.442127771686,Nuclear,2013.0,25.332793536936187
2013.0,Predicted,32.0,3,984,32.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,32.0,4,1248,32.0,Predicted,1164.6594965502272,Wind,2013.0,4.53947861784475
2013.0,Predicted,32.0,5,1512,32.0,Predicted,7140.1803744292265,Gas,2013.0,27.83019091269511
2013.0,Predicted,33.0,0,198,33.0,Predicted,10860.431660958884,Coal,2013.0,42.33301335276789
2013.0,Predicted,33.0,1,462,33.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,33.0,2,726,33.0,Predicted,6499.442127771686,Nuclear,2013.0,25.33425732695125
2013.0,Predicted,33.0,3,990,33.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,33.0,4,1254,33.0,Predicted,1164.6594965502272,Wind,2013.0,4.5397409198867535
2013.0,Predicted,33.0,5,1518,33.0,Predicted,7130.2236073059385,Gas,2013.0,27.79298840039411
2013.0,Predicted,34.0,0,204,34.0,Predicted,10705.995138127835,Coal,2013.0,41.81987813678449
2013.0,Predicted,34.0,1,468,34.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,34.0,2,732,34.0,Predicted,6499.442127771686,Nuclear,2013.0,25.38819364605335
2013.0,Predicted,34.0,3,996,34.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,34.0,4,1260,34.0,Predicted,1164.6594965502272,Wind,2013.0,4.549405971904496
2013.0,Predicted,34.0,5,1524,34.0,Predicted,7230.157506849317,Gas,2013.0,28.242522245257685
2013.0,Predicted,35.0,0,210,35.0,Predicted,10930.533158675777,Coal,2013.0,42.60693776680913
2013.0,Predicted,35.0,1,474,35.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,35.0,2,738,35.0,Predicted,6437.14451423342,Nuclear,2013.0,25.091824134507934
2013.0,Predicted,35.0,3,1002,35.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,35.0,4,1266,35.0,Predicted,1156.8201303972592,Wind,2013.0,4.509255183413149
2013.0,Predicted,35.0,5,1530,35.0,Predicted,7129.852712328769,Gas,2013.0,27.79198291526979
2013.0,Predicted,36.0,0,216,36.0,Predicted,10468.47126712327,Coal,2013.0,40.87323015612008
2013.0,Predicted,36.0,1,480,36.0,Predicted,0.0,Solar,2013.0,0.0
