DATE,CLOSING PRICE
2/20/2017,5.05
2/17/2017,4.85
2/16/2017,4.96
2/14/2017,4.95
2/13/2017,5.07
02/10/2017,5.3
02/09/2017,5.25
02/07/2017,5.08
02/06/2017,5.08
02/03/2017,5.22
02/02/2017,5.24
1/31/2017,5.2
1/30/2017,4.99
1/27/2017,5.05
1/26/2017,4.93
1/24/2017,5.23
1/23/2017,5.34
1/20/2017,5.16
1/19/2017,4.88
1/17/2017,4.8
1/16/2017,4.96
1/13/2017,5.06
01/12/2017,5.3
01/10/2017,5.6
01/09/2017,5
12/16/2016,4.59
12/15/2016,4.96
12/13/2016,4.82
12/12/2016,4.65
12/09/2016,4.48
12/08/2016,4.23
12/06/2016,4.15
12/05/2016,4.16
12/02/2016,4.32
12/01/2016,4.44
11/29/2016,4.56
11/28/2016,4.8
11/25/2016,5.05
11/24/2016,5.29
11/22/2016,5.42
11/21/2016,5.44
11/18/2016,5.73
11/17/2016,5.6
11/15/2016,5.55
11/14/2016,5.54
11/11/2016,5.85
11/10/2016,5.95
11/08/2016,6.1
11/07/2016,6.46
11/04/2016,6.54
11/03/2016,6.35
10/31/2016,5.76
10/28/2016,5.7
10/27/2016,5.9
10/25/2016,5.78
10/24/2016,5.92
10/21/2016,5.58
10/20/2016,5.7
10/18/2016,5.89
10/17/2016,5.84
6/27/2016,4.78
6/24/2016,4.96
6/23/2016,5.64
6/22/2016,5.66
6/21/2016,5.54
6/20/2016,5.85
6/17/2016,5.67
6/16/2016,5.69
6/15/2016,5.88
6/14/2016,5.84
6/13/2016,5.83
06/10/2016,5.95
06/09/2016,6.1
06/08/2016,6.09
06/07/2016,6.09
06/06/2016,6.2
06/03/2016,5.92
06/02/2016,6.01
06/01/2016,5.95
5/31/2016,6.09
5/30/2016,6.1
5/27/2016,6.02
5/26/2016,6.02
5/25/2016,5.86
5/24/2016,5.78
5/23/2016,5.72
5/20/2016,5.95
5/19/2016,5.99
5/18/2016,6.04
5/17/2016,6.04
5/16/2016,6.1
5/13/2016,5.84
05/12/2016,5.8
05/11/2016,5.98
05/10/2016,5.89
05/09/2016,5.7
05/06/2016,5.85
05/05/2016,6.19
05/04/2016,6.13
05/03/2016,5.97
05/02/2016,6.11
4/29/2016,6.17
4/28/2016,6.33
4/27/2016,6.84
4/26/2016,6.61
4/25/2016,5.91
4/22/2016,5.95
4/21/2016,5.76
4/20/2016,5.54
4/19/2016,5.56
4/18/2016,5.46
4/15/2016,5.46
4/14/2016,5.6
4/13/2016,5.53
04/12/2016,5.57
04/11/2016,5.57
04/08/2016,5.43
04/07/2016,5.27
04/06/2016,5.3
04/05/2016,5.22
04/04/2016,5.31
04/01/2016,5.17
3/31/2016,5.2
3/30/2016,4.95
3/29/2016,4.77
3/24/2016,4.84
3/23/2016,4.8
3/22/2016,4.8
3/21/2016,4.86
3/18/2016,4.94
3/17/2016,5
3/16/2016,4.96
3/15/2016,4.87
3/14/2016,4.88
03/11/2016,4.99
03/10/2016,4.91
03/09/2016,5.08
03/08/2016,5.03
03/07/2016,5.09
03/04/2016,4.93
03/03/2016,4.89
03/02/2016,4.96
03/01/2016,5
2/29/2016,4.99
2/26/2016,4.99
2/25/2016,5.06
2/24/2016,4.86
2/23/2016,4.9
2/22/2016,5.42
2/19/2016,5.17
2/18/2016,5.25
2/17/2016,5.09
2/16/2016,4.69
2/15/2016,4.8
02/12/2016,5.03
02/11/2016,4.73
02/10/2016,4.9
02/09/2016,4.94
02/08/2016,5.24
02/04/2016,5.6
02/03/2016,5.62
02/02/2016,5.81
02/01/2016,5.69
1/28/2016,6.08
1/27/2016,5.91
1/26/2016,6.08
1/25/2016,5.89
1/21/2016,6.2
1/20/2016,6.32
1/19/2016,6.84
1/18/2016,6.73
1/14/2016,7.09
1/13/2016,7.27
01/12/2016,7.13
01/11/2016,7.16
01/07/2016,7.56
01/06/2016,7.78
