,testing_time,training_time,root_mean_squared_error,mean_absolute_error,mean_squared_error,median_absolute_error,estimator
27,24.35069714412748,171.45191876026365,2727.732004593059,1933.0592923518634,7474393.047277085,1332.688005891664,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
28,26.296302285564405,183.9704277721236,2689.6080954190084,1912.7372357303684,7267454.03997765,1328.7854322836254,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
29,25.86572739453307,181.6451833789797,2689.6080954190084,1912.7372357303684,7267454.03997765,1328.7854322836254,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
30,6.096778597687565,67.33565921085635,3548.4247957407665,2545.208564828064,12605318.238474919,1925.5179511064273,"{""hidden_layer_sizes"": 10, ""learning_rate"": ""adaptive"", ""solver"": ""adam""}"
31,4.601886746586388,37.841406006734665,1775.5731171444634,1281.1112103312696,3168518.3283744142,934.8268174925565,"{""power"": 0.1}"
32,4.579132985535883,37.85874581854538,2328.997273012176,1747.507808180984,5443561.62825515,1329.611326958609,{}
33,25.857049601908027,182.6428681627925,12008.765567023102,7395.859377945402,144211859.4630239,3533.3477990166334,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
34,25.673900651562388,183.52255658525488,12008.765567023102,7395.859377945402,144211859.4630239,3533.3477990166334,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
35,25.082588730837113,175.82166470014636,9122.3528310736,5384.538362173386,83220616.30161743,2750.400941047079,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
36,24.10965504847506,172.8154114989969,9122.3528310736,5384.538362173386,83220616.30161743,2750.400941047079,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
37,24.054560728727665,170.39774354650095,2726.305206474938,1931.035749863507,7467013.955467835,1329.6968322267749,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
38,24.195111468176037,170.49106919597884,2726.305206474938,1931.035749863507,7467013.955467835,1329.6968322267749,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
39,25.931479250561097,185.41600346230794,2686.867416185624,1910.608748678129,7253023.848071841,1326.8890526321613,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
40,25.606143428699095,183.37696189488634,2686.867416185624,1910.608748678129,7253023.848071841,1326.8890526321613,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
41,6.433944987535749,70.10545228212384,3395.5963565562943,2443.973108984414,11544154.492555784,1853.763379424324,"{""hidden_layer_sizes"": 10, ""learning_rate"": ""adaptive"", ""solver"": ""adam""}"
42,4.660499232445242,38.08046091205688,1742.145733001329,1250.7520985102688,3049938.814158185,905.8397380602883,"{""power"": 0.1}"
43,4.646723768696877,38.163341089622314,2336.5351922477057,1755.0266579592324,5478998.306758834,1338.125334376882,{}
44,26.10954429293027,180.5006310852235,10848.22499314679,6429.642063833835,117685727.07114775,3055.1794703682394,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
45,26.269799311063252,181.61493693489197,10848.22499314679,6429.642063833835,117685727.07114775,3055.1794703682394,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
46,24.801928815692616,174.01383665864464,8309.741665372409,4836.815453032191,69055755.10978502,2566.0213591151396,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
47,24.468252878369338,169.55991497720484,8309.741665372409,4836.815453032191,69055755.10978502,2566.0213591151396,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
48,23.86432622526263,167.35268979353108,2725.2145469444854,1929.5713210092952,7461354.525947885,1327.6143398067516,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
49,24.23694991590067,166.9896153443636,2725.2145469444854,1929.5713210092952,7461354.525947885,1327.6143398067516,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
50,26.037665696479962,183.1460107708117,2684.799082099033,1909.152551323512,7242131.0240643285,1325.7779039268707,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
51,26.117254208882514,181.65364989416653,2684.799082099033,1909.152551323512,7242131.0240643285,1325.7779039268707,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
52,6.588676152394328,72.06156503481907,3279.1030225802533,2364.449922711086,10766768.46618324,1795.2534864876131,"{""hidden_layer_sizes"": 10, ""learning_rate"": ""adaptive"", ""solver"": ""adam""}"
53,4.736268912318337,38.26338214098238,1720.2402143908687,1230.7804714101985,2973531.339167708,886.8357298729029,"{""power"": 0.1}"
54,4.733005908874475,38.31736947541989,2343.6589056074076,1761.9707561903715,5512531.175445869,1346.1474902607013,{}
55,26.019722809612478,177.6645512710323,10012.999646008075,5811.762615532801,100262279.98937716,2827.612195253527,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
56,25.98942605094271,178.56493083326254,10012.999646008075,5811.762615532801,100262279.98937716,2827.612195253527,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
57,24.87419619388432,172.51698766651558,7728.910195975494,4483.615916326098,59740711.79305663,2465.676524031317,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
58,24.270551381581754,169.33653305521025,7728.910195975494,4483.615916326098,59740711.79305663,2465.676524031317,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
59,24.345075446667277,167.58664878601,2724.353882793492,1928.4544781887773,7456882.418673391,1326.1693912725752,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
60,24.431245351451555,168.08160918202339,2724.353882793492,1928.4544781887773,7456882.418673391,1326.1693912725752,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
61,26.146127642047457,180.76712410121763,2683.163797279896,1908.0959807070258,7233521.394632336,1325.178081022272,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
62,25.79451385731348,178.74039480977203,2683.163797279896,1908.0959807070258,7233521.394632336,1325.178081022272,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
63,6.684198397922349,71.97789138936302,3187.795268440279,2301.4842832578693,10176379.691104682,1747.9924269179362,"{""hidden_layer_sizes"": 10, ""learning_rate"": ""adaptive"", ""solver"": ""adam""}"
64,4.854863686442211,38.56807707603851,1705.1102787045547,1216.9412593449608,2921364.4325723327,873.6746193328123,"{""power"": 0.1}"
65,4.812181687336609,38.840330350826356,2350.2201136764716,1768.2854658286103,5543474.905293787,1353.7070211224716,{}
66,25.55450589240839,175.2533750422117,9382.893367818158,5390.275466170124,88041211.41148894,2703.9911757632326,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
67,25.559393012333505,175.64583444992482,9382.893367818158,5390.275466170124,88041211.41148894,2703.9911757632326,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
68,24.41716906274208,171.38779494251017,7290.302890458962,4237.122375746824,53153913.346996315,2402.391166840543,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
69,24.40510501413276,168.2705280401824,7290.302890458962,4237.122375746824,53153913.346996315,2402.391166840543,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
70,24.085994396809838,166.48512088704715,2723.656710469233,1927.5708676154607,7453258.031726863,1325.011375128074,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
71,23.845705341861805,166.9218501022527,2723.656710469233,1927.5708676154607,7453258.031726863,1325.011375128074,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
72,25.55559101941496,177.36601142662767,2681.8255290600428,1907.2974521948706,7226472.8325119885,1324.8621664532695,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
73,25.393866999681148,176.13344959560467,2681.8255290600428,1907.2974521948706,7226472.8325119885,1324.8621664532695,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
74,6.688036661148847,72.13937678811635,3114.496655724188,2250.8365691911317,9714393.313642638,1709.8518496590777,"{""hidden_layer_sizes"": 10, ""learning_rate"": ""adaptive"", ""solver"": ""adam""}"
75,4.8772962539151195,38.57431125764075,1694.2385641719932,1206.9540177018966,2884189.153140262,864.1660993762481,"{""power"": 0.1}"
76,4.876958318624626,38.67162639563079,2356.224669299975,1774.0182454713722,5571850.932571418,1360.2343491784156,{}
77,25.16281474565646,174.46969234854623,8890.683969288408,5087.94395998723,79047194.41439334,2629.1522117735576,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
78,24.963960278080776,174.74287132492827,8890.683969288408,5087.94395998723,79047194.41439334,2629.1522117735576,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
79,24.329714897553156,168.80247756927565,6945.164098824028,4054.457305299622,48241465.481776506,2358.5626435424765,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
80,24.039256535295863,166.38321570091648,6945.164098824028,4054.457305299622,48241465.481776506,2358.5626435424765,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
81,23.83664706760707,164.18947338388898,2723.0828792688803,1926.8544846203622,7450274.430092476,1324.1076586744573,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
82,23.841735571175377,164.9624902580011,2723.0828792688803,1926.8544846203622,7450274.430092476,1324.1076586744573,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
83,25.386825568941276,176.61019717233285,2680.7130931727647,1906.6782493405692,7220610.3901979765,1324.7717505357848,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
84,25.318249766643323,175.07844326271638,2680.7130931727647,1906.6782493405692,7220610.3901979765,1324.7717505357848,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
85,6.737409360745612,72.43856793827581,3054.292316301284,2209.285265778633,9342865.950062966,1679.028893171034,"{""hidden_layer_sizes"": 10, ""learning_rate"": ""adaptive"", ""solver"": ""adam""}"
86,4.937130662736308,38.81032252230458,1686.1806445774528,1199.5031651664667,2856805.1019207216,857.0749775312651,"{""power"": 0.1}"
87,4.903128928554604,38.7643575705406,2361.7222026310005,1779.2384573167374,5597883.009313047,1366.3156330425497,{}
88,25.33401906477593,174.16525847481535,8495.508490015825,4862.175644012962,72177009.43707664,2579.5285289173576,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
89,25.467851677352883,174.27857196848103,8495.508490015825,4862.175644012962,72177009.43707664,2579.5285289173576,"{""C"": 0.1, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
90,24.27574597910522,167.11307003990683,6664.821885351271,3912.700148266776,44426785.43572269,2324.5236044471762,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
91,23.83853491629634,164.3359268623984,6664.821885351271,3912.700148266776,44426785.43572269,2324.5236044471762,"{""C"": 0.1, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
92,23.591586547706054,162.0205262735726,2722.6039468514496,1926.2623271236787,7447784.046733045,1323.3252781158383,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
93,23.780456463347946,163.23410163592052,2722.6039468514496,1926.2623271236787,7447784.046733045,1323.3252781158383,"{""C"": 2, ""fit_intercept"": false, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
94,25.544009382729808,176.7782824206115,2679.790624530918,1906.1959896517794,7215748.233186148,1324.738373739993,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1, ""shuffle"": false, ""tol"": 0.001}"
95,25.330150575617154,174.20420190826312,2679.790624530918,1906.1959896517794,7215748.233186148,1324.738373739993,"{""C"": 2, ""fit_intercept"": true, ""max_iter"": 1000, ""shuffle"": false, ""tol"": 0.001}"
