,index,date,cluster,hour,data_type,capacity_factor
194,2,2009-01-29,55.0,2,onshore,0.1967
195,3,2009-01-29,55.0,3,onshore,0.2066
196,4,2009-01-29,55.0,4,onshore,0.2309
197,5,2009-01-29,55.0,5,onshore,0.2598
198,6,2009-01-29,55.0,6,onshore,0.2889
199,7,2009-01-29,55.0,7,onshore,0.332
200,8,2009-01-29,55.0,8,onshore,0.3667
201,9,2009-01-29,55.0,9,onshore,0.4135
202,10,2009-01-29,55.0,10,onshore,0.436
203,11,2009-01-29,55.0,11,onshore,0.4585
204,12,2009-01-29,55.0,12,onshore,0.4989
205,13,2009-01-29,55.0,13,onshore,0.5122
206,14,2009-01-29,55.0,14,onshore,0.5248
207,15,2009-01-29,55.0,15,onshore,0.5298
208,16,2009-01-29,55.0,16,onshore,0.5513
209,17,2009-01-29,55.0,17,onshore,0.5694
210,18,2009-01-29,55.0,18,onshore,0.5738
211,19,2009-01-29,55.0,19,onshore,0.5792
212,20,2009-01-29,55.0,20,onshore,0.5817
213,21,2009-01-29,55.0,21,onshore,0.5987
214,22,2009-01-29,55.0,22,onshore,0.6146
215,23,2009-01-29,55.0,23,onshore,0.6208
216,24,2009-09-05,84.0,0,onshore,0.3424
217,25,2009-09-05,84.0,1,onshore,0.3274
218,26,2009-09-05,84.0,2,onshore,0.3095
219,27,2009-09-05,84.0,3,onshore,0.2934
220,28,2009-09-05,84.0,4,onshore,0.2774
221,29,2009-09-05,84.0,5,onshore,0.2663
222,30,2009-09-05,84.0,6,onshore,0.2406
223,31,2009-09-05,84.0,7,onshore,0.2362
224,32,2009-09-05,84.0,8,onshore,0.2988
225,33,2009-09-05,84.0,9,onshore,0.3614
226,34,2009-09-05,84.0,10,onshore,0.4087
227,35,2009-09-05,84.0,11,onshore,0.4472
228,36,2009-09-05,84.0,12,onshore,0.4714
229,37,2009-09-05,84.0,13,onshore,0.49700000000000005
230,38,2009-09-05,84.0,14,onshore,0.5209
231,39,2009-09-05,84.0,15,onshore,0.5145
232,40,2009-09-05,84.0,16,onshore,0.4874
233,41,2009-09-05,84.0,17,onshore,0.4627
234,42,2009-09-05,84.0,18,onshore,0.4511
235,43,2009-09-05,84.0,19,onshore,0.4378
236,44,2009-09-05,84.0,20,onshore,0.4251
237,45,2009-09-05,84.0,21,onshore,0.4159
238,46,2009-09-05,84.0,22,onshore,0.4034
239,47,2009-09-05,84.0,23,onshore,0.3869
240,48,2011-02-25,97.0,0,onshore,0.5354
241,49,2011-02-25,97.0,1,onshore,0.551
242,50,2011-02-25,97.0,2,onshore,0.5565
243,51,2011-02-25,97.0,3,onshore,0.5665
244,52,2011-02-25,97.0,4,onshore,0.6022
245,53,2011-02-25,97.0,5,onshore,0.6225
246,54,2011-02-25,97.0,6,onshore,0.6454
247,55,2011-02-25,97.0,7,onshore,0.6355
248,56,2011-02-25,97.0,8,onshore,0.6241
249,57,2011-02-25,97.0,9,onshore,0.6126
250,58,2011-02-25,97.0,10,onshore,0.6048
251,59,2011-02-25,97.0,11,onshore,0.5938
252,60,2011-02-25,97.0,12,onshore,0.5865
253,61,2011-02-25,97.0,13,onshore,0.5622
254,62,2011-02-25,97.0,14,onshore,0.5171
255,63,2011-02-25,97.0,15,onshore,0.4655
256,64,2011-02-25,97.0,16,onshore,0.4357
257,65,2011-02-25,97.0,17,onshore,0.4255
258,66,2011-02-25,97.0,18,onshore,0.4016
259,67,2011-02-25,97.0,19,onshore,0.3897
260,68,2011-02-25,97.0,20,onshore,0.3728
261,69,2011-02-25,97.0,21,onshore,0.344
262,70,2011-02-25,97.0,22,onshore,0.3108
263,71,2011-02-25,97.0,23,onshore,0.2805
264,72,2012-06-13,129.0,0,onshore,0.0599
265,73,2012-06-13,129.0,1,onshore,0.0634
266,74,2012-06-13,129.0,2,onshore,0.068
267,75,2012-06-13,129.0,3,onshore,0.07200000000000001
268,76,2012-06-13,129.0,4,onshore,0.0718
269,77,2012-06-13,129.0,5,onshore,0.0624
270,78,2012-06-13,129.0,6,onshore,0.0583
271,79,2012-06-13,129.0,7,onshore,0.0507
272,80,2012-06-13,129.0,8,onshore,0.0421
273,81,2012-06-13,129.0,9,onshore,0.0353
274,82,2012-06-13,129.0,10,onshore,0.0294
275,83,2012-06-13,129.0,11,onshore,0.0252
276,84,2012-06-13,129.0,12,onshore,0.0224
277,85,2012-06-13,129.0,13,onshore,0.0207
278,86,2012-06-13,129.0,14,onshore,0.0195
279,87,2012-06-13,129.0,15,onshore,0.0207
280,88,2012-06-13,129.0,16,onshore,0.0246
281,89,2012-06-13,129.0,17,onshore,0.0314
282,90,2012-06-13,129.0,18,onshore,0.0448
283,91,2012-06-13,129.0,19,onshore,0.0661
284,92,2012-06-13,129.0,20,onshore,0.0949
285,93,2012-06-13,129.0,21,onshore,0.1162
286,94,2012-06-13,129.0,22,onshore,0.1221
287,95,2012-06-13,129.0,23,onshore,0.121
288,0,2009-01-29,55.0,0,solar,0.0
289,1,2009-01-29,55.0,1,solar,0.0
290,2,2009-01-29,55.0,2,solar,0.0
291,3,2009-01-29,55.0,3,solar,0.0
292,4,2009-01-29,55.0,4,solar,0.0
293,5,2009-01-29,55.0,5,solar,0.0
294,6,2009-01-29,55.0,6,solar,0.0
295,7,2009-01-29,55.0,7,solar,0.0
296,8,2009-01-29,55.0,8,solar,0.0164
297,9,2009-01-29,55.0,9,solar,0.0586
298,10,2009-01-29,55.0,10,solar,0.1218
299,11,2009-01-29,55.0,11,solar,0.1831
300,12,2009-01-29,55.0,12,solar,0.2036
301,13,2009-01-29,55.0,13,solar,0.1936
302,14,2009-01-29,55.0,14,solar,0.1421
303,15,2009-01-29,55.0,15,solar,0.0593
304,16,2009-01-29,55.0,16,solar,0.0009
