Company,Name,Fuel,Capacity,Start_date
Innogy renewables,Goole Fields 2,Wind,34.90,2016.00
Innogy renewables,Gwynt-y-Mor,Wind (offshore),576.00,2013.00
Innogy renewables,Hameldon Hill,Wind,6.00,2006.00
Innogy renewables,Hameldon Hill Extension,Wind,6.00,2013.00
Innogy renewables,Hellrigg,Wind,9.20,2012.00
Innogy renewables,Hollies,Wind,2.60,2008.00
Innogy renewables,Kiln Pit Hill,Wind,14.00,2011.00
Innogy renewables,Knabs Ridge,Wind,16.00,2007.00
Innogy renewables,Lindhurst,Wind,9.00,2010.00
Innogy renewables,Little Cheyne Court,Wind,59.80,2008.00
Innogy renewables,Lochelbank,Wind,9.60,2010.00
Innogy renewables,Middlemoor,Wind,54.00,2013.00
Innogy renewables,North Hoyle,Wind (offshore),60.00,2003.00
Innogy renewables,Novar2,Wind,36.80,2012.00
Innogy renewables,Rhyl Flats,Wind (offshore),90.00,2009.00
Innogy renewables,Galloper Wind Farm,Wind (offshore),72.00,2017.00
Innogy renewables,Cia Aig ,Hydro,3.00,2016.00
Innogy renewables,Auchtertyre,Hydro,0.60,2000.00
Innogy renewables,Black Rock,Hydro,3.50,2012.00
Innogy renewables,Blantyre,Hydro,0.60,1995.00
Innogy renewables,Braevallich,Hydro,2.20,2005.00
Innogy renewables,Carnoch,Hydro,1.40,2009.00
Innogy renewables,Croesor,Hydro,0.50,1999.00
Innogy renewables,Cwm Dyli,Hydro,10.00,2002.00
Innogy renewables,Dolgarrog High Head,Hydro,17.00,2002.00
Innogy renewables,Dolgarrog Low Head,Hydro,15.00,1926/2002
Innogy renewables,Douglas Water,Hydro,3.00,2008.00
Innogy renewables,Dulyn,Hydro,0.50,1998.00
Innogy renewables,Garnedd,Hydro,0.50,1990.00
Innogy renewables,Garrogie,Hydro,2.40,2005.00
Innogy renewables,Garry Gualach,Hydro,0.80,2002.00
Innogy renewables,Glen Tarbert,Hydro,0.90,2000.00
Innogy renewables,Grudie ,Hydro,2.00,2017.00
Innogy renewables,Inverbain,Hydro,1.00,2006.00
Innogy renewables,Inverlael,Hydro,2.50,2009.00
Innogy renewables,Kielder,Hydro,6.00,2006.00
Innogy renewables,Maldie,Hydro,4.00,2013.00
Innogy renewables,River E,Hydro,3.00,2008.00
Innogy renewables,Selset,Hydro,0.80,2010.00
Innogy renewables,Stanley Mill,Hydro,0.80,2003.00
Intergen,Rocksavage,CCGT,810.00,1998.00
Intergen,Coryton,CCGT,800.00,2001.00
Intergen,Spalding,CCGT,880.00,2004.00
Lark,Barr Farm Limited,Solar,1.90,2015.00
Lark,Brafield on the Green Solar Park,Solar,4.90,2016.00
Lark,Burton Pedwardine,Solar,9.00,2014.00
Lark,Burton Pedwardine Solar Farm Phase 2,Solar,4.20,2014.00
Lark,Chalgrove - Langlay Hall - Solar Farm,Solar,2.40,2014.00
Lark,Coton Park Solar Farm,Solar,2.70,2015.00
Lark,Ellough Solar Farm,Solar,19.90,2014.00
Lark,Ellough Solar Farm Phase two,Solar,0.00,2016.00
Lark,Fen Road Solar Farm,Solar,1.40,2011.00
Lark,Fiskerton Solar Farm,Solar,13.00,2015.00
Lark,Huddlesford House Farm,Solar,0.90,2016.00
Lark,Kenninghall Solar Farm,Solar,8.00,2015.00
Lark,Ketton Solar Farm,Solar,9.00,2014.00
