,hour,variable,value
85,86,actuals,25601.16666666667
86,87,actuals,25786.08333333333
87,88,actuals,27649.66666666667
88,89,actuals,29229.16666666667
89,90,actuals,30208.91666666667
90,91,actuals,30920.58333333333
91,92,actuals,30516.08333333333
92,93,actuals,29484.66666666667
93,94,actuals,28889.5
94,95,actuals,26113.91666666667
95,96,actuals,24034.58333333333
96,97,actuals,22876.75
97,98,actuals,22403.0
98,99,actuals,22030.83333333333
99,100,actuals,21938.58333333333
100,101,actuals,22015.75
101,102,actuals,24416.91666666667
102,103,actuals,28207.58333333333
103,104,actuals,29956.58333333333
104,105,actuals,29983.66666666667
105,106,actuals,29738.5
106,107,actuals,29331.0
107,108,actuals,29413.16666666667
108,109,actuals,29263.0
109,110,actuals,29113.58333333333
110,111,actuals,29050.41666666667
111,112,actuals,29951.58333333333
112,113,actuals,31006.16666666667
113,114,actuals,31366.08333333333
114,115,actuals,30870.66666666667
115,116,actuals,30342.33333333333
116,117,actuals,29660.83333333333
117,118,actuals,28873.5
118,119,actuals,26086.58333333333
119,120,actuals,23950.5
120,121,actuals,23290.16666666667
121,122,actuals,22713.83333333333
122,123,actuals,22169.83333333333
123,124,actuals,21904.666666666668
124,125,actuals,21571.75
125,126,actuals,22310.25
126,127,actuals,23551.66666666667
127,128,actuals,26007.58333333333
128,129,actuals,27000.25
129,130,actuals,27258.33333333333
130,131,actuals,26744.08333333333
131,132,actuals,26357.33333333333
132,133,actuals,25534.25
133,134,actuals,24487.58333333333
134,135,actuals,23978.33333333333
135,136,actuals,24438.91666666667
136,137,actuals,25703.41666666667
137,138,actuals,26482.58333333333
138,139,actuals,26599.5
139,140,actuals,26273.83333333333
140,141,actuals,26326.33333333333
141,142,actuals,26170.5
142,143,actuals,24102.91666666667
143,144,actuals,22088.41666666667
144,145,actuals,20812.58333333333
145,146,actuals,20519.58333333333
146,147,actuals,20209.916666666668
147,148,actuals,19953.33333333333
148,149,actuals,19568.08333333333
149,150,actuals,20137.25
150,151,actuals,21195.454545454544
151,152,actuals,22368.41666666667
152,153,actuals,24119.33333333333
153,154,actuals,25173.41666666667
154,155,actuals,25905.16666666667
155,156,actuals,26340.5
156,157,actuals,26058.41666666667
157,158,actuals,25720.5
158,159,actuals,26101.83333333333
159,160,actuals,27165.5
160,161,actuals,28050.0
161,162,actuals,28609.41666666667
162,163,actuals,28840.75
163,164,actuals,28387.91666666667
164,165,actuals,27492.0
165,166,actuals,26132.41666666667
166,167,actuals,23086.5
167,168,actuals,21450.166666666668
168,1,predictions,26127.768964327457
169,2,predictions,23933.893066491717
170,3,predictions,24067.888917357493
171,4,predictions,22891.591622051707
172,5,predictions,22807.75078074189
173,6,predictions,25021.687203894362
174,7,predictions,26226.611730111337
175,8,predictions,28683.38582371765
176,9,predictions,29094.562430915706
177,10,predictions,29423.115885645355
178,11,predictions,29959.325768651343
179,12,predictions,29333.8340684192
180,13,predictions,29296.777571096005
181,14,predictions,28316.71583514793
182,15,predictions,29297.944216835378
183,16,predictions,30062.89407877047
184,17,predictions,31599.671148846322
185,18,predictions,32943.81975480354
186,19,predictions,32181.46771058412
187,20,predictions,32729.87662315162
188,21,predictions,31363.715134474805
189,22,predictions,30463.380956807327
190,23,predictions,27873.511957315277
191,24,predictions,25333.652160903614
192,25,predictions,22490.84412938309
193,26,predictions,21829.211992486256
194,27,predictions,22392.25628692013
195,28,predictions,21788.95085146816
196,29,predictions,22657.112812986074
197,30,predictions,24353.13105938726
198,31,predictions,27349.307894006197
199,32,predictions,29628.175044076008
200,33,predictions,29802.982373313713
201,34,predictions,30316.785070870174
202,35,predictions,31023.47963838827
203,36,predictions,30875.940279591203
204,37,predictions,30719.586681466724
205,38,predictions,29692.704922727833
206,39,predictions,30296.025432537688
207,40,predictions,31286.82087853743
208,41,predictions,32558.321839575285
209,42,predictions,33802.6002804052
210,43,predictions,32986.929707903786
211,44,predictions,33027.484314159585
212,45,predictions,32151.463652733422
213,46,predictions,30326.261588163
214,47,predictions,28871.81357368806
215,48,predictions,26229.120966158724
216,49,predictions,23791.173532313187
217,50,predictions,23716.36818882327
218,51,predictions,23687.748512963804
219,52,predictions,23866.135416662586
220,53,predictions,23225.166250400172
221,54,predictions,25555.983438577037
222,55,predictions,27510.934137099557
223,56,predictions,31044.746955470742
224,57,predictions,31265.486513346827
225,58,predictions,30950.225971938085
226,59,predictions,30354.18532668106
227,60,predictions,29792.946923575124
228,61,predictions,29312.503986702162
229,62,predictions,28585.382364480945
230,63,predictions,28887.855786300253
231,64,predictions,30270.940293330037
232,65,predictions,31130.73412687138
233,66,predictions,32521.89100814309
234,67,predictions,31451.26727139627
235,68,predictions,31680.335031752064
236,69,predictions,30594.77630240842
237,70,predictions,28981.618180372767
238,71,predictions,27188.21029057072
239,72,predictions,23735.69379085121
240,73,predictions,21768.114372740674
241,74,predictions,21259.78840677187
242,75,predictions,21360.672193599723
243,76,predictions,21772.770328626226
244,77,predictions,21300.497430276395
245,78,predictions,24742.85697321251
246,79,predictions,25639.46546929498
247,80,predictions,29379.065769981135
248,81,predictions,29272.805073626347
249,82,predictions,29685.115025919084
250,83,predictions,28641.276681338182
251,84,predictions,27487.655389862834
252,85,predictions,26961.65873120544
253,86,predictions,25923.945492112594
254,87,predictions,26782.725189600063
255,88,predictions,27858.44759703095
256,89,predictions,29145.728809808388
257,90,predictions,30650.390710570406
258,91,predictions,30009.985444862155
259,92,predictions,30205.210413262434
260,93,predictions,29426.60946107033
261,94,predictions,27400.610701552898
262,95,predictions,25876.280909569527
263,96,predictions,22765.0280182803
264,97,predictions,21327.128234233765
265,98,predictions,20452.85847807533
266,99,predictions,21295.222174345166
267,100,predictions,20875.65212469745
268,101,predictions,21428.662399951798
269,102,predictions,24737.371058275847
270,103,predictions,26656.014140358224
271,104,predictions,30288.6682804522
272,105,predictions,28446.451230449624
273,106,predictions,28552.40552046395
274,107,predictions,28240.797963374956
275,108,predictions,28106.539515877626
276,109,predictions,28500.334111885815
277,110,predictions,27837.229783813797
278,111,predictions,29061.11447250329
279,112,predictions,29684.146751407516
280,113,predictions,30613.448340494808
281,114,predictions,31579.009639786622
282,115,predictions,30401.58070497412
283,116,predictions,30896.030875539185
284,117,predictions,29612.660018911723
285,118,predictions,27899.15209415056
286,119,predictions,25672.29707925983
287,120,predictions,23049.69596291969
288,121,predictions,21699.98427716939
289,122,predictions,21061.048954359227
290,123,predictions,21468.78711829439
291,124,predictions,21262.545462041548
292,125,predictions,21527.94195740179
293,126,predictions,25106.79863148305
294,127,predictions,27227.390632510534
295,128,predictions,29798.797789176362
296,129,predictions,28137.58398621744
297,130,predictions,28121.001308249164
298,131,predictions,27847.939912997295
299,132,predictions,27393.15221674956
300,133,predictions,27221.61778672252
301,134,predictions,26174.568103581634
302,135,predictions,26840.52165101319
303,136,predictions,26916.60193764991
304,137,predictions,26944.24584786806
305,138,predictions,27650.7029500103
306,139,predictions,26268.075943295436
307,140,predictions,26681.862102502924
308,141,predictions,24892.4949817216
309,142,predictions,23688.264183113788
310,143,predictions,21986.135679979452
311,144,predictions,20243.485936290454
312,145,predictions,18624.084931212146
313,146,predictions,18494.311491317283
314,147,predictions,19134.893517895944
315,148,predictions,19364.168083180826
316,149,predictions,19184.506924717607
317,150,predictions,22509.851198916353
318,151,predictions,22942.647826398035
319,152,predictions,26408.713094414266
320,153,predictions,24559.264107353414
321,154,predictions,24961.026450999405
322,155,predictions,24468.307046649166
323,156,predictions,24194.295775183105
324,157,predictions,24225.119085170256
325,158,predictions,23035.771370910283
326,159,predictions,24241.045772546
327,160,predictions,25076.521806045723
328,161,predictions,26746.074744212943
329,162,predictions,28200.802303802047
330,163,predictions,27363.653757780106
331,164,predictions,28491.520284503487
332,165,predictions,27681.348547430738
333,166,predictions,27088.356789187208
334,167,predictions,25464.293129386188
335,168,predictions,22497.001093819734
