,hour,variable,value
301,134,actuals,24487.58333333333
302,135,actuals,23978.33333333333
303,136,actuals,24438.91666666667
304,137,actuals,25703.41666666667
305,138,actuals,26482.58333333333
306,139,actuals,26599.5
307,140,actuals,26273.83333333333
308,141,actuals,26326.33333333333
309,142,actuals,26170.5
310,143,actuals,24102.91666666667
311,144,actuals,22088.41666666667
312,145,actuals,20812.58333333333
313,146,actuals,20519.58333333333
314,147,actuals,20209.916666666668
315,148,actuals,19953.33333333333
316,149,actuals,19568.08333333333
317,150,actuals,20137.25
318,151,actuals,21195.454545454544
319,152,actuals,22368.41666666667
320,153,actuals,24119.33333333333
321,154,actuals,25173.41666666667
322,155,actuals,25905.16666666667
323,156,actuals,26340.5
324,157,actuals,26058.41666666667
325,158,actuals,25720.5
326,159,actuals,26101.83333333333
327,160,actuals,27165.5
328,161,actuals,28050.0
329,162,actuals,28609.41666666667
330,163,actuals,28840.75
331,164,actuals,28387.91666666667
332,165,actuals,27492.0
333,166,actuals,26132.41666666667
334,167,actuals,23086.5
335,168,actuals,21450.166666666668
