,accepted_price,segment_demand,segment_hour,year
16,64.05146426916265,39585.0,1382.08,2018
17,67.0813265948293,42206.0,921.42,2018
18,70.73336054376915,45209.0,460.75,2018
19,87.6151070687824,52152.0,0.08,2018
0,42.62822545640985,17568.0,8752.5,2018
1,51.69815956403077,21964.0,8291.83,2018
2,54.18342143337728,23127.0,7831.17,2018
3,54.77525487665773,24327.0,7370.5,2018
4,55.144720189249405,25520.0,6909.92,2018
5,55.61426379232355,26760.0,6449.25,2018
6,56.516870302230544,27888.0,5988.58,2018
7,57.57662540925096,28935.0,5527.92,2018
8,57.75237657390753,29865.0,5067.25,2018
9,58.33954436541425,30721.0,4606.58,2018
10,58.34107385033087,31567.0,4146.0,2018
11,58.34107385033087,32315.0,3685.33,2018
12,58.953979835465084,33188.0,3224.67,2018
13,59.08991106883989,34182.0,2764.0,2018
14,59.32379859263084,35505.0,2303.33,2018
15,60.37482552913304,37480.0,1842.67,2018
16,64.54492969081936,39585.0,1382.08,2018
17,68.78609830759831,42206.0,921.42,2018
18,74.77032087108485,45209.0,460.75,2018
19,87.02735746905441,52152.0,0.08,2018
0,44.11512223994718,17568.0,8752.5,2018
1,51.10018939598177,21964.0,8291.83,2018
2,51.18188549239036,23127.0,7831.17,2018
3,51.18188549239036,24327.0,7370.5,2018
4,52.44405727337504,25520.0,6909.92,2018
5,52.80685211339947,26760.0,6449.25,2018
6,52.841972617607986,27888.0,5988.58,2018
7,53.7504440618626,28935.0,5527.92,2018
8,54.336798758896826,29865.0,5067.25,2018
9,54.66058804430746,30721.0,4606.58,2018
10,54.66058804430746,31567.0,4146.0,2018
11,54.71441459678919,32315.0,3685.33,2018
12,55.85339706004228,33188.0,3224.67,2018
13,56.524638788472885,34182.0,2764.0,2018
14,58.90987110848975,35505.0,2303.33,2018
15,58.991437995975154,37480.0,1842.67,2018
16,60.8601976496646,39585.0,1382.08,2018
17,63.68071086510647,42206.0,921.42,2018
18,71.42164586691153,45209.0,460.75,2018
19,87.01109718576937,52152.0,0.08,2018
0,39.12412256881424,17568.0,8752.5,2018
1,48.35904445926221,21964.0,8291.83,2018
2,50.92299377165474,23127.0,7831.17,2018
3,51.712129197448036,24327.0,7370.5,2018
4,53.49361885251209,25520.0,6909.92,2018
5,54.307729985631994,26760.0,6449.25,2018
6,55.333455621461304,27888.0,5988.58,2018
7,56.02663968096997,28935.0,5527.92,2018
8,56.23243105894498,29865.0,5067.25,2018
9,56.92421933653429,30721.0,4606.58,2018
10,56.92421933653429,31567.0,4146.0,2018
11,57.10716398218731,32315.0,3685.33,2018
12,58.588315756073015,33188.0,3224.67,2018
13,58.995421175324374,34182.0,2764.0,2018
14,59.61928578755938,35505.0,2303.33,2018
15,60.62485100881977,37480.0,1842.67,2018
16,61.195362095847415,39585.0,1382.08,2018
17,66.10414552046885,42206.0,921.42,2018
18,68.96310677329008,45209.0,460.75,2018
19,87.01168404740685,52152.0,0.08,2018
0,38.54253077937553,17568.0,8752.5,2018
1,51.32079377803808,21964.0,8291.83,2018
2,51.59369134613922,23127.0,7831.17,2018
3,53.02205019264232,24327.0,7370.5,2018
4,54.24102852371888,25520.0,6909.92,2018
5,54.315749772830536,26760.0,6449.25,2018
6,55.358090443427734,27888.0,5988.58,2018
