,,Commissioning,
,,2016 2017 2020,
Pre-development,High,1040 1040 1040,
£/kW,Medium,180 180 180,
,Low,30 30 30,
Construction costs,High,1900 1900 1900,
£/kW,Medium,800 800 800,
,Low,500 500 500,
Fixed O+M,,,
£/MW/yr,Medium,121000 120700 120200,
Variable O+M,,,
£/MWh,Medium,6 7 8,
Insurance,,,
£/MW/yr,Medium,4900 4900 4800,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium,12000 12000 11900,
,Bioliquids CHP,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High 1000 1000 1000,,
£/kW,Medium 180 180 180,,
,Low 30 30 30,,
Construction costs,High 2000 2000 2000,,
£/kW,Medium 800 800 800,,
,Low 500 500 500,,
Fixed O+M,,,
£/MW/yr,Medium 121000 120700 120200,,
Variable O+M,,,
£/MWh,Medium 6 7 8,,
Insurance,,,
£/MW/yr,Medium 4900 4900 4800,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium 12000 12000 11900,,
,Cofiring Conventional,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High 7 7 7,,
£/kW,Medium 5 5 5,,
,Low 2 2 2,,
Construction costs,High 170 170 160,,
£/kW,Medium 120 120 120,,
,Low 40 40 40,,
Fixed O+M,,,
£/MW/yr,Medium 10100 10100 10200,,
Variable O+M,,,
£/MWh,Medium 1 2 3,,
Insurance,,,
£/MW/yr,Medium 900 900 900,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium 9200 9200 9200,,
,Cofiring Enhanced,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High 60 60 60,,
£/kW,Medium 60 60 60,,
,Low 60 60 60,,
Construction costs,High 700 700 700,,
£/kW,Medium 400 400 400,,
,Low 300 300 300,,
Fixed O+M,,,
£/MW/yr,Medium 40900 41000 41000,,
Variable O+M,,,
£/MWh,Medium 1 2 3,,
Insurance,,,
£/MW/yr,Medium 1300 1300 1300,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium 17500 17500 17500,,
,Biomass conversion,,
,Commissioning,,
,2016 2017 2020,,
Pre-development,High 60 60 60,,
£/kW,Medium 60 60 60,,
,Low 60 60 60,,
Construction costs,High 700 700 700,,
£/kW,Medium 400 400 400,,
,Low 300 300 300,,
Fixed O+M,,,
£/MW/yr,Medium 40900 41000 41000,,
Variable O+M,,,
£/MWh,Medium 1 2 3,,
Insurance,,,
£/MW/yr,Medium 1300 1300 1300,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium 17500 17500 17500,,
,,Wave,
,,Commissioning,
,,2025,
Pre-development,High,130,
£/kW,Medium,110,
,Low,100,
Construction costs,High,4700,
£/kW,Medium,4500,
,Low,3800,
Fixed O+M,,,
£/MW/yr,Medium,97800,
Variable O+M,,,
£/MWh,Medium,Included in fixed O+M,
Insurance,,,
£/MW/yr,Medium,Included in fixed O+M,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium,Included in fixed O+M,
,Tidal stream shallow,,
,Commissioning,,
,2025,,
Pre-development,High,,
£/kW,Medium Included in construction costs,,
,Low,,
Construction costs,High 3100,,
£/kW,Medium 2700,,
,Low 2000,,
Fixed O+M,,,
£/MW/yr,Medium 143300,,
Variable O+M,,,
£/MWh,Medium 1,,
Insurance,,,
£/MW/yr,Medium Included in fixed O+M,,
Connection and Use,,,
of System charges,,,
£/MW/yr,Medium Included in fixed O+M,,
,Tidal stream deep,,
,Commissioning,,
,2025,,
Pre-development,High,,
£/kW,Medium Included in construction costs,,
,Low,,
Construction costs,High 3600,,
£/kW,Medium 3200,,
,Low 2700,,
Fixed O+M,,,
