,Plant_Size,Average_Load_Factor,Efficiency,Operating_Period,Constr_1,Constr_2,Constr_3,Constr_4,Constr_5,Constr_6,Constr_7,Constr_8,Constr_Dur,Pre_1,Pre_2,Pre_3,Pre_4,Pre_5,Pre_6,Pre_7,Pre_8,Pre_Dur,Connect_system_cost:Medium _2018,Connect_system_cost:Medium _2020,Connect_system_cost:Medium _2025,Constr_cost:High _2018,Constr_cost:High _2020,Constr_cost:High _2025,Constr_cost:Low _2018,Constr_cost:Low _2020,Constr_cost:Low _2025,Constr_cost:Medium _2018,Constr_cost:Medium _2020,Constr_cost:Medium _2025,Fixed_cost:Medium _2018,Fixed_cost:Medium _2020,Fixed_cost:Medium _2025,Infra_cost:High _2018,Infra_cost:High _2020,Infra_cost:High _2025,Infra_cost:Low _2018,Infra_cost:Low _2020,Infra_cost:Low _2025,Infra_cost:Medium _2018,Infra_cost:Medium _2020,Infra_cost:Medium _2025,Insurance_cost:Medium _2018,Insurance_cost:Medium _2020,Insurance_cost:Medium _2025,Pre-dev_cost:High _2018,Pre-dev_cost:High _2020,Pre-dev_cost:High _2025,Pre-dev_cost:Low _2018,Pre-dev_cost:Low _2020,Pre-dev_cost:Low _2025,Pre-dev_cost:Medium _2018,Pre-dev_cost:Medium _2020,Pre-dev_cost:Medium _2025,Var_cost:Medium _2018,Var_cost:Medium _2020,Var_cost:Medium _2025
EfW ,30.00,0.81,0.28,35 years ,0.33,0.33,0.33,,,,,,3 years ,0.23,0.23,0.23,0.23,0.09,,,,4 years ,16700.00,16500.00,16100.00,12500.00,12400.00,12200.00,4600.00,4600.00,4500.00,8200.00,8100.00,8000.00,139500.00,137900.00,134800.00,6600.00,6600.00,6600.00,2500.00,2500.00,2500.00,4600.00,4600.00,4600.00,30500.00,30100.00,29500.00,390.00,390.00,390.00,110.00,110.00,110.00,230.00,230.00,230.00,25.00,25.00,24.00
EfW CHP ,24.00,0.81,0.22,35 years ,0.33,0.33,0.33,,,,,,3 years ,0.23,0.23,0.23,0.23,0.09,,,,4 years ,16700.00,16500.00,16100.00,15900.00,15800.00,15600.00,10300.00,10300.00,10100.00,13300.00,13200.00,13000.00,153000.00,151300.00,147900.00,8500.00,8500.00,8500.00,3000.00,3000.00,3000.00,5900.00,5900.00,5900.00,85200.00,84300.00,82400.00,300.00,300.00,300.00,130.00,130.00,130.00,210.00,210.00,210.00,55.00,55.00,53.00
Gas - CCS CCGT oxy FOAK ,1038.00,0.88,0.42,25 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,0.17,0.17,0.17,0.17,0.17,0.17,,,6 years ,- ,- ,3300.00,- ,- ,2700.00,- ,- ,1700.00,- ,- ,2100.00,- ,- ,83800.00,- ,- ,30200.00,- ,- ,7600.00,- ,- ,15100.00,- ,- ,7500.00,- ,- ,80.00,- ,- ,30.00,- ,- ,40.00,- ,- ,4.00
Gas - CCS CCGT Post FOAK ,963.00,0.88,0.44,25 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,- ,- ,3300.00,- ,- ,2700.00,- ,- ,1700.00,- ,- ,2100.00,- ,- ,31000.00,- ,- ,30200.00,- ,- ,7600.00,- ,- ,15100.00,- ,- ,7300.00,- ,- ,80.00,- ,- ,30.00,- ,- ,50.00,- ,- ,3.00
Gas - CCS CCGT Pre FOAK ,1084.00,0.88,0.38,25 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,- ,- ,3300.00,- ,- ,2600.00,- ,- ,1700.00,- ,- ,2000.00,- ,- ,30500.00,- ,- ,30200.00,- ,- ,7600.00,- ,- ,15100.00,- ,- ,7500.00,- ,- ,80.00,- ,- ,30.00,- ,- ,50.00,- ,- ,4.00
Gas - CCS CCGT Retro Post FOAK ,618.00,0.88,0.44,25 years ,0.25,0.25,0.25,0.25,,,,,4 years ,0.25,0.25,0.25,0.25,,,,,4 years ,- ,- ,3300.00,- ,- ,1800.00,- ,- ,1200.00,- ,- ,1400.00,- ,- ,30900.00,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,7400.00,- ,- ,50.00,- ,- ,20.00,- ,- ,30.00,- ,- ,3.00
Gas - CCS OCGT post FOAK ,290.00,0.85,0.24,25 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,0.20,0.20,0.20,0.20,0.20,,,,5 years ,- ,- ,2500.00,- ,- ,3000.00,- ,- ,1900.00,- ,- ,2300.00,- ,- ,31800.00,- ,- ,30200.00,- ,- ,7600.00,- ,- ,15100.00,- ,- ,8500.00,- ,- ,120.00,- ,- ,60.00,- ,- ,80.00,- ,- ,3.00
Geothermal CHP ,3.00,0.90,1.00,25 years ,0.33,0.33,0.33,,,,,,3 years ,1.00,,,,,,,,1 years ,12900.00,12900.00,12900.00,9400.00,9300.00,9100.00,3000.00,3000.00,2900.00,6900.00,6800.00,6700.00,81000.00,81000.00,81000.00,500.00,500.00,500.00,200.00,200.00,200.00,300.00,300.00,300.00,1600.00,1600.00,1600.00,130.00,130.00,130.00,80.00,80.00,80.00,110.00,110.00,110.00,12.00,12.00,12.00
Hydro 5-16MW ,11.00,0.35,1.00,41 years ,0.70,0.30,,,,,,,2 years ,0.77,0.23,,,,,,,2 years ,- ,- ,- ,3100.00,3100.00,3100.00,1600.00,1600.00,1600.00,3000.00,3000.00,3000.00,45100.00,45100.00,45100.00,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,300.00,300.00,300.00,40.00,40.00,40.00,60.00,60.00,60.00,6.00,6.00,6.00
Hydro Large Store ,11.00,0.45,1.00,41 years ,0.70,0.30,,,,,,,2 years ,0.70,0.30,,,,,,,0 years ,7600.00,7600.00,7600.00,- ,- ,- ,- ,- ,- ,3200.00,3200.00,3200.00,25700.00,25700.00,25700.00,- ,- ,- ,- ,- ,- ,- ,- ,- ,1000.00,1000.00,1000.00,- ,- ,- ,- ,- ,- ,60.00,60.00,60.00,6.00,6.00,6.00
