,Average_Load_Factor,Connect_system_cost-Medium _2016,Connect_system_cost-Medium _2017,Connect_system_cost-Medium _2020,Constr_1,Constr_2,Constr_3,Constr_4,Constr_5,Constr_6,Constr_7,Constr_8,Constr_Dur,Constr_cost-High _2016,Constr_cost-High _2017,Constr_cost-High _2020,Constr_cost-Low _2016,Constr_cost-Low _2017,Constr_cost-Low _2020,Constr_cost-Medium _2016,Constr_cost-Medium _2017,Constr_cost-Medium _2020,Efficiency,Fixed_cost-Medium _2016,Fixed_cost-Medium _2017,Fixed_cost-Medium _2020,Infra_cost-High _2016,Infra_cost-High _2017,Infra_cost-High _2020,Infra_cost-Low _2016,Infra_cost-Low _2017,Infra_cost-Low _2020,Infra_cost-Medium _2016,Infra_cost-Medium _2017,Infra_cost-Medium _2020,Insurance_cost-Medium _2016,Insurance_cost-Medium _2017,Insurance_cost-Medium _2020,Operating_Period,Plant_Size,Plant_Type,Pre_1,Pre_2,Pre_3,Pre_4,Pre_5,Pre_6,Pre_7,Pre_8,Pre_Dur,Pre_dev_cost-High _2016,Pre_dev_cost-High _2017,Pre_dev_cost-High _2020,Pre_dev_cost-Low _2016,Pre_dev_cost-Low _2017,Pre_dev_cost-Low _2020,Pre_dev_cost-Medium _2016,Pre_dev_cost-Medium _2017,Pre_dev_cost-Medium _2020,Type,Unnamed: 0,Var_cost-Medium _2016,Var_cost-Medium _2017,Var_cost-Medium _2020
20,0.11,0,0,0,1.0,,,,,,,,0,2500.00,2400.00,2100.00,1500.00,1400.00,1300.00,1900.00,1800.00,1600.00,1.0,23700.00,23600.00,23500.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30.0,0.003,Solar <10kW,,,,,,,,,0,,,,,,,0,0,0,PV,,0,0,0
21,0.21,0,0,0,1.0,,,,,,,,0,6100.00,6100.00,6100.00,5000.00,5000.00,5000.00,5500.00,5500.00,5500.00,1.0,73000.00,73000.00,73000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,20.0,0.01,Onshore <50kW,,,,,,,,,0,,,,,,,0,0,0,Onshore,,0,0,0
22,0.65,0,0,0,1.0,,,,,,,,0,8000.00,8000.00,8000.00,4000.00,4000.00,4000.00,6000.00,6000.00,6000.00,0.38,924000.00,924000.00,924000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,20.0,0.155,AD < 250kW,,,,,,,,,0,,,,,,,0,0,0,AD,,0,0,0
23,0.4,0,0,0,1.0,,,,,,,,0,10000.00,10000.00,10000.00,2000.00,2000.00,2000.00,4500.00,4500.00,4500.00,1.0,104000.00,104000.00,104000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,35.0,1.046,Hydropower 500-2000kW,,,,,,,,,0,,,,,,,0,0,0,Hydro,,0,0,0
24,0.6,0,0,0,1.0,,,,,,,,0,21400.00,21400.00,21400.00,4200.00,4200.00,4200.00,9500.00,9500.00,9500.00,1.0,110000.00,110000.00,110000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,35.0,0.033,Hydropower <100kW,,,,,,,,,0,,,,,,,0,0,0,Hydro,,0,0,0
0,0.91,,,3800.0,0.2,0.2,0.2,0.2,0.2,,,,5,,,5500000.0,,,3400000.0,,,4200000.0,0.32,,,79600.0,,,15000.0,,,5000.0,,,10000.0,,,19300.0,25.0,624.0,Coal - CCS ASC NH3 FOAK ,0.2,0.2,0.2,0.2,0.2,,,,5,,,110000.0,,,60000.0,,,70000.0,Coal,2.0,,,3.0
48,0.91,,,3800.0,0.2,0.2,0.2,0.2,0.2,,,,5,,,3400000.0,,,2100000.0,,,2600000.0,0.38,,,56400.0,,,15000.0,,,5000.0,,,10000.0,,,9600.0,25.0,734.0,Coal - CCS ASC Partial FOAK ,0.2,0.2,0.2,0.2,0.2,,,,5,,,80000.0,,,40000.0,,,60000.0,Coal,52.0,,,3.0
49,0.91,,,3800.0,0.2,0.2,0.2,0.2,0.2,,,,5,,,5500000.0,,,3400000.0,,,4200000.0,0.32,,,78500.0,,,15000.0,,,5000.0,,,10000.0,,,15800.0,25.0,624.0,Coal - CCS ASC FOAK ,0.2,0.2,0.2,0.2,0.2,,,,5,,,110000.0,,,60000.0,,,70000.0,Coal,53.0,,,3.0
0,0.91,,,3800.0,0.2,0.2,0.2,0.2,0.2,,,,5,,,5500000.0,,,3400000.0,,,4200000.0,0.32,,,79600.0,,,15000.0,,,5000.0,,,10000.0,,,19300.0,25.0,624.0,Coal - CCS ASC NH3 FOAK ,0.2,0.2,0.2,0.2,0.2,,,,5,,,110000.0,,,60000.0,,,70000.0,Coal,2.0,,,3.0
48,0.91,,,3800.0,0.2,0.2,0.2,0.2,0.2,,,,5,,,3400000.0,,,2100000.0,,,2600000.0,0.38,,,56400.0,,,15000.0,,,5000.0,,,10000.0,,,9600.0,25.0,734.0,Coal - CCS ASC Partial FOAK ,0.2,0.2,0.2,0.2,0.2,,,,5,,,80000.0,,,40000.0,,,60000.0,Coal,52.0,,,3.0
49,0.91,,,3800.0,0.2,0.2,0.2,0.2,0.2,,,,5,,,5500000.0,,,3400000.0,,,4200000.0,0.32,,,78500.0,,,15000.0,,,5000.0,,,10000.0,,,15800.0,25.0,624.0,Coal - CCS ASC FOAK ,0.2,0.2,0.2,0.2,0.2,,,,5,,,110000.0,,,60000.0,,,70000.0,Coal,53.0,,,3.0
51,0.22,-31900.0,-31900.0,-31900.0,1.0,,,,,,,,1,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,0.32,10000.0,10000.0,10000.0,10300.0,10300.0,10300.0,700.0,700.0,700.0,3400.0,3400.0,3400.0,1000.0,1000.0,1000.0,15.0,20.0,Recip Gas 2000 hr ,0.5,0.5,,,,,,,2,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,Recip_gas,55.0,2.0,2.0,2.0
52,0.05,-28500.0,-28500.0,-28500.0,1.0,,,,,,,,1,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,0.32,10000.0,10000.0,10000.0,10300.0,10300.0,10300.0,700.0,700.0,700.0,3400.0,3400.0,3400.0,1000.0,1000.0,1000.0,15.0,20.0,RECIP GAS 500 hrs ,0.5,0.5,,,,,,,2,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,Recip_gas,56.0,2.0,2.0,2.0
0,0.91,,,3800.0,0.2,0.2,0.2,0.2,0.2,,,,5,,,5500000.0,,,3400000.0,,,4200000.0,0.32,,,79600.0,,,15000.0,,,5000.0,,,10000.0,,,19300.0,25.0,624.0,Coal - CCS ASC NH3 FOAK ,0.2,0.2,0.2,0.2,0.2,,,,5,,,110000.0,,,60000.0,,,70000.0,Coal,2.0,,,3.0
48,0.91,,,3800.0,0.2,0.2,0.2,0.2,0.2,,,,5,,,3400000.0,,,2100000.0,,,2600000.0,0.38,,,56400.0,,,15000.0,,,5000.0,,,10000.0,,,9600.0,25.0,734.0,Coal - CCS ASC Partial FOAK ,0.2,0.2,0.2,0.2,0.2,,,,5,,,80000.0,,,40000.0,,,60000.0,Coal,52.0,,,3.0
49,0.91,,,3800.0,0.2,0.2,0.2,0.2,0.2,,,,5,,,5500000.0,,,3400000.0,,,4200000.0,0.32,,,78500.0,,,15000.0,,,5000.0,,,10000.0,,,15800.0,25.0,624.0,Coal - CCS ASC FOAK ,0.2,0.2,0.2,0.2,0.2,,,,5,,,110000.0,,,60000.0,,,70000.0,Coal,53.0,,,3.0
51,0.22,-31900.0,-31900.0,-31900.0,1.0,,,,,,,,1,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,0.32,10000.0,10000.0,10000.0,10300.0,10300.0,10300.0,700.0,700.0,700.0,3400.0,3400.0,3400.0,1000.0,1000.0,1000.0,15.0,20.0,Recip Gas 2000 hr ,0.5,0.5,,,,,,,2,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,Recip_gas,55.0,2.0,2.0,2.0
52,0.05,-28500.0,-28500.0,-28500.0,1.0,,,,,,,,1,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,0.32,10000.0,10000.0,10000.0,10300.0,10300.0,10300.0,700.0,700.0,700.0,3400.0,3400.0,3400.0,1000.0,1000.0,1000.0,15.0,20.0,RECIP GAS 500 hrs ,0.5,0.5,,,,,,,2,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,Recip_gas,56.0,2.0,2.0,2.0
56,0.22,-31900.0,-31900.0,-31900.0,1.0,,,,,,,,1,300000.0,300000.0,300000.0,200000.0,200000.0,200000.0,300000.0,300000.0,300000.0,0.34,10000.0,10000.0,10000.0,6500.0,6500.0,6500.0,400.0,400.0,400.0,2200.0,2200.0,2200.0,1000.0,1000.0,1000.0,15.0,20.0,Recip Diesel 2000 hr ,0.5,0.5,,,,,,,2,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,Recip_diesel,60.0,2.0,2.0,2.0
57,0.05,-28500.0,-28500.0,-28500.0,1.0,,,,,,,,1,300000.0,300000.0,300000.0,200000.0,200000.0,200000.0,300000.0,300000.0,300000.0,0.34,10000.0,10000.0,10000.0,6500.0,6500.0,6500.0,400.0,400.0,400.0,2200.0,2200.0,2200.0,1000.0,1000.0,1000.0,15.0,20.0,Recip Diesel 500 hrs ,0.5,0.5,,,,,,,2,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,Recip_diesel,61.0,2.0,2.0,2.0
58,0.01,-28000.0,-28000.0,-28000.0,1.0,,,,,,,,1,300000.0,300000.0,300000.0,200000.0,200000.0,200000.0,300000.0,300000.0,300000.0,0.34,10000.0,10000.0,10000.0,6500.0,6500.0,6500.0,400.0,400.0,400.0,2200.0,2200.0,2200.0,1000.0,1000.0,1000.0,15.0,20.0,Recip Diesel 90 hrs ,0.5,0.5,,,,,,,2,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,Recip_diesel,62.0,2.0,2.0,2.0
